"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Nigeria","Lower middle income","December 30, 2022","0.8 %","0.02 per 1,000 persons","7.37 %","0.4 per 100k persons",7744,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"North Korea","Low income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"North Macedonia","Upper middle income","February 24, 2022","22.8 %","2.36 per 1,000 persons","0.26 %","9.4 per 100k persons",1028,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Northern Mariana Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",3583,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norway","High income","November 13, 2022","59.7 %","0.77 per 1,000 persons","3.47 %","430.4 per 100k persons",74611,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Oman","High income","May 28, 2021","Insufficient data","Insufficient data","0.17 %","2.2 per 100k persons",1006,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Pakistan","Lower middle income","January 31, 2023","2.5 %","0.08 per 1,000 persons","1.7 %","1 per 100k persons",5982,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Palau","High income","No tests reported","Insufficient data","Insufficient data","1.32 %","304.1 per 100k persons",67,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Palestine","Lower middle income","February 03, 2022","50.5 %","2.93 per 1,000 persons","0 %","0 per 100k persons",129,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Panama","High income","January 28, 2023","14.7 %","1.47 per 1,000 persons","0.71 %","52.2 per 100k persons",6534,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Papua New Guinea","Lower middle income","November 28, 2021","Insufficient data","Insufficient data","7.44 %","7 per 100k persons",4717,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Paraguay","Upper middle income","March 27, 2022","29 %","0.66 per 1,000 persons","0.59 %","18.9 per 100k persons",2803,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Peru","Upper middle income","January 31, 2023","11.1 %","1.06 per 1,000 persons","2.02 %","73.9 per 100k persons",44218,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Philippines","Lower middle income","January 31, 2023","7.8 %","0.18 per 1,000 persons","1.43 %","6.3 per 100k persons",26026,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Poland","High income","January 25, 2023","21 %","0.55 per 1,000 persons","1.54 %","56 per 100k persons",89414,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Portugal","High income","June 02, 2022","24.6 %","6.97 per 1,000 persons","0.6 %","166 per 100k persons",44917,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Puerto Rico","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",17709,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Qatar","High income","November 13, 2022","18.1 %","0.92 per 1,000 persons","0.83 %","46.6 per 100k persons",6118,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Republic of the Congo","Lower middle income","July 04, 2022","0.6 %","0.1 per 1,000 persons","5.03 %","1.4 per 100k persons",678,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Romania","High income","June 27, 2022","16.9 %","1.55 per 1,000 persons","0.7 %","38.2 per 100k persons",19084,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Russia","Upper middle income","January 30, 2023","14.4 %","1.33 per 1,000 persons","0.36 %","24.2 per 100k persons",64961,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Rwanda","Low income","January 03, 2023","0.3 %","0.34 per 1,000 persons","0 %","0 per 100k persons",786,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint Kitts and Nevis","High income","February 01, 2023","1.7 %","3.52 per 1,000 persons","0 %","0 per 100k persons",76,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint Lucia","Upper middle income","October 08, 2022","10.3 %","1.86 per 1,000 persons","1.49 %","73.4 per 100k persons",274,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Vincent and the Grenadines","Upper middle income","August 28, 2022","8.2 %","0.8 per 1,000 persons","1.33 %","21.2 per 100k persons",242,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"San Marino","High income","December 27, 2022","15.5 %","5.97 per 1,000 persons","0 %","0 per 100k persons",0,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"São Tomé and Príncipe","Lower middle income","December 30, 2022","2.2 %","0.24 per 1,000 persons","0 %","0 per 100k persons",11,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saudi Arabia","High income","February 01, 2023","2 %","0.59 per 1,000 persons","0.24 %","0.9 per 100k persons",1871,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Senegal","Lower middle income","January 03, 2023","1.3 %","0.06 per 1,000 persons","18.01 %","4 per 100k persons",5902,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Serbia","Upper middle income","February 01, 2023","20.6 %","1.27 per 1,000 persons","0.18 %","20.8 per 100k persons",2188,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Seychelles","High income","December 21, 2020","Insufficient data","Insufficient data","1.9 %","239 per 100k persons",1549,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sierra Leone","Low income","December 30, 2022","0.1 %","0.05 per 1,000 persons","0 %","0 per 100k persons",126,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Singapore","High income","January 30, 2023","7.4 %","11.88 per 1,000 persons","0.91 %","299 per 100k persons",29734,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Sint Maarten (Dutch part)","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",2691,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Slovakia","High income","January 31, 2023","26.5 %","2.13 per 1,000 persons","2.05 %","389.3 per 100k persons",45095,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Slovenia","High income","February 01, 2023","14.5 %","5.78 per 1,000 persons","4.03 %","1137.9 per 100k persons",83036,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Solomon Islands","Lower middle income","No tests reported","Insufficient data","Insufficient data","1.46 %","46.7 per 100k persons",358,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Somalia","Low income","July 05, 2022","No cases reported","0.04 per 1,000 persons","0 %","0 per 100k persons",45,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"South Africa","Upper middle income","January 03, 2023","10.1 %","0.22 per 1,000 persons","2.87 %","21.5 per 100k persons",49770,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"South Korea","High income","October 31, 2021","Insufficient data","Insufficient data","0.27 %","152.6 per 100k persons",117118,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"South Sudan","Low income","July 17, 2022","0.9 %","0.05 per 1,000 persons","0 %","0 per 100k persons",170,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Spain","High income","February 01, 2023","22.3 %","1.04 per 1,000 persons","2.12 %","164.5 per 100k persons",203862,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Sri Lanka","Lower middle income","June 16, 2022","8.5 %","0.22 per 1,000 persons","1.02 %","2.8 per 100k persons",3558,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Saint Martin","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Sudan","Low income","October 27, 2021","Insufficient data","Insufficient data","0 %","0 per 100k persons",347,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Suriname","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.91 %","11.8 per 100k persons",1116,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sweden","High income","May 10, 2021","Insufficient data","Insufficient data","13.56 %","655 per 100k persons",237447,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Switzerland","High income","January 22, 2023","34.3 %","2.13 per 1,000 persons","1.7 %","419.7 per 100k persons",158499,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Syria","Low income","No tests reported","Insufficient data","Insufficient data","0.92 %","0.2 per 100k persons",106,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Taiwan","High income","February 01, 2023","48.1 %","2.26 per 1,000 persons","0.02 %","9.3 per 100k persons",2695,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Tajikistan","Low income","March 30, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tanzania","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",29,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Thailand","Upper middle income","October 26, 2022","35.8 %","0.34 per 1,000 persons","0.67 %","21.3 per 100k persons",31663,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"The Bahamas","High income","November 30, 2022","9.3 %","0.45 per 1,000 persons","0 %","0 per 100k persons",265,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"The Gambia","Low income","October 02, 2022","2 %","0.06 per 1,000 persons","23.79 %","6.4 per 100k persons",1414,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Togo","Low income","January 03, 2023","2 %","0.05 per 1,000 persons","5.52 %","1.8 per 100k persons",925,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tonga","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Trinidad and Tobago","High income","September 21, 2022","26.6 %","0.82 per 1,000 persons","2.76 %","136.6 per 100k persons",4568,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Tunisia","Lower middle income","December 30, 2022","25.4 %","0.25 per 1,000 persons","0.09 %","1.7 per 100k persons",1479,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Turkey","Upper middle income","November 01, 2022","22.6 %","1.04 per 1,000 persons","0.3 %","18.5 per 100k persons",101464,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Turkmenistan","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Turks and Caicos Islands","High income","No tests reported","Insufficient data","Insufficient data","2.19 %","37.2 per 100k persons",72,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Tuvalu","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Uganda","Low income","October 07, 2022","1.3 %","0.05 per 1,000 persons","5.06 %","0.9 per 100k persons",1486,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ukraine","Lower middle income","June 15, 2022","67.2 %","0.27 per 1,000 persons","0.05 %","1.6 per 100k persons",1584,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Arab Emirates","High income","June 30, 2022","0.2 %","30.63 per 1,000 persons","0 %","0 per 100k persons",2615,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Kingdom","High income","May 23, 2022","8.2 %","8.99 per 1,000 persons","12.62 %","1280.1 per 100k persons",2905084,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"United States of America","High income","September 21, 2022","11.2 %","2.47 per 1,000 persons","5.64 %","445.9 per 100k persons",4495886,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Uruguay","High income","April 18, 2022","26.6 %","3.34 per 1,000 persons","0.05 %","4.7 per 100k persons",1088,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Uzbekistan","Lower middle income","July 14, 2020","Insufficient data","Insufficient data","0.16 %","0.1 per 100k persons",132,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Vanuatu","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.83 %","30.6 per 100k persons",104,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Venezuela","Upper middle income","May 30, 2021","Insufficient data","Insufficient data","0.57 %","1.3 per 100k persons",1057,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Vietnam","Lower middle income","May 08, 2021","Insufficient data","Insufficient data","0.06 %","5 per 100k persons",7761,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"U.S. Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",2313,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Yemen","Low income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Zambia","Lower middle income","January 03, 2023","5 %","0.1 per 1,000 persons","0.29 %","0.5 per 100k persons",1547,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Zimbabwe","Lower middle income","December 30, 2022","5.1 %","0.12 per 1,000 persons","0.16 %","0.3 per 100k persons",982,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"British Indian Ocean Territory","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Cook Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Falkland Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"French Southern and Antarctic Lands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guernsey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Heard Island and McDonald Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Jersey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Montserrat","No income data","No tests reported","Insufficient data","Insufficient data","0.81 %","226.6 per 100k persons",28,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Niue","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norfolk Island","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Pitcairn Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Saint Helena","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint Pierre and Miquelon","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint-Barthélemy","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"South Georgia and the South Sandwich Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Wallis and Futuna","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",10,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Anguilla","No income data","No tests reported","Insufficient data","Insufficient data","2.27 %","220.4 per 100k persons",109,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Vatican City","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Western Sahara","No income data","October 13, 2021","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
