"geometry","country","code","region","who_testing_capacity","owid_testing_capacity","pop_100k","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","dx_testing_capacity","ngs_capacity","sequencing_capacity","total_sequences","submission_count","total_viable_sequences","all_cases","percent_cases_sequenced","sequences_per_capita_per_100k","sars_cov_2_sequencing","cases_newly_reported_in_last_7_days_per_100000_population","world_bank_economies","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean"
NaN,"El Salvador","SLV","Americas","0 - Unreliable",1,64.86,337.26,27921.2765957447,0.0608446062726467,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",138,138,129,110188,0.13,2.12,"1-499 sequences",5.07,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Equatorial Guinea","GNQ","Africa","0 - Unreliable",NaN,14.03,61.54,16764.005702067,0.0553573782201455,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",207,207,207,12840,1.61,14.28,"1-499 sequences",21.95,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Eritrea","ERI","Africa","0 - Unreliable",1,35.46,7.13,668.161308516638,0.286076056219136,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,6774,0,0,"0 sequences",0.99,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Estonia","EST","Europe","1 - Reliable",1,13.27,606.94,121290.580256217,0.10837724895404,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",6237,6237,6217,172514,3.62,470.65,"500+ sequences",534.47,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Eswatini","SWZ","Africa","1 - Reliable",1,11.6,148.87,32634.5689655172,0.122495449874657,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",123,123,123,46363,0.27,10.49,"1-499 sequences",11.81,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Ethiopia","ETH","Africa","1 - Reliable",1,1149.64,16.85,3135.2484255941,0.0998447178689865,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",219,219,219,359247,0.06,0.19,"1-499 sequences",4.73,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Falkland Islands","FLK","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",57.42,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Faroe Islands","FRO","Europe","1 - Reliable",1,0.49,3988.98,911479.591836735,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",42,42,42,0,NaN,85.62,"1-499 sequences",157.58,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Fiji","FJI","Western Pacific","1 - Reliable",1,8.96,349,25782.2544642857,0.224432814305936,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",531,531,530,51701,1.03,58.81,"500+ sequences",35.7,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
NaN,"Finland","FIN","Europe","1 - Reliable",1,55.41,419.13,124289.839379173,0.0220399599239135,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",18886,18886,18885,149897,12.6,340.39,"500+ sequences",60.61,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"France","FRA","Europe","1 - Reliable",1,652.74,1057.42,231733.889450624,0.0475780764444448,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",110504,112468,92621,7538406,1.47,163.55,"500+ sequences",43.96,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"French Polynesia","PYF","Western Pacific","0 - Unreliable",NaN,2.81,33.29,3249.1103202847,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",11,11,11,0,NaN,3.89,"1-499 sequences",28.48,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"French Southern and Antarctic Lands","ATF","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Gabon","GAB","Africa","1 - Reliable",1,22.26,196.15,57606.4240790656,0.0263912489793881,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",314,314,179,33442,0.94,13.78,"1-499 sequences",44.57,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Georgia","GEO","Europe","1 - Reliable",1,39.89,298.64,71916.746051642,0.233742883246728,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",263,264,262,662334,0.04,6.61,"1-499 sequences",585.31,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Germany","DEU","Europe","1 - Reliable",1,837.84,255.85,90925.2291606989,0.0579006960730811,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",223040,223366,222134,4382019,5.09,265.84,"500+ sequences",71.26,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Ghana","GHA","Africa","1 - Reliable",1,310.73,18.98,5880.38490007402,0.0709233520795616,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",1436,1436,1435,129440,1.11,4.53,"500+ sequences",0.67,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Gibraltar","GIB","Europe","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",1648,1842,1562,0,NaN,4891.51,"500+ sequences",326.5,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Greece","GRC","Europe","1 - Reliable",1,104.23,1829.69,227582.941571525,0.0295501828129288,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",9343,9495,9336,693886,1.35,90.09,"500+ sequences",148.29,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Greenland","GRL","Americas","1 - Reliable",1,0.57,1516.49,98854.3859649123,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",66.93,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Grenada","GRD","Americas","0 - Unreliable",NaN,1.13,88.97,21229.203539823,0.240777022802118,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",12,12,12,5746,0.21,10.62,"1-499 sequences",165.3,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Guam","GUM","Western Pacific","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",196,196,NaN,NaN,NaN,NaN,"1-499 sequences",253,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Guantanamo Bay Naval Base","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Guatemala","GTM","Americas","0 - Unreliable",1,179.16,69.74,14597.549676267,0.225590439632669,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",772,772,772,588069,0.13,4.23,"500+ sequences",61.95,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Guernsey","GGY","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",178.38,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Guinea","GIN","Africa","0 - Unreliable",1,131.33,32.21,3881.34470418031,0.0600289953446581,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",228,262,218,30572,0.75,1.69,"1-499 sequences",0.63,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Guinea-Bissau","GNB","Africa","0 - Unreliable",NaN,19.68,18.02,5113.0081300813,0.0609198600731436,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",48,48,48,6130,0.78,2.38,"1-499 sequences",0.56,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Guyana","GUY","Americas","1 - Reliable",1,7.87,145.73,23997.331639136,0.183247819802075,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",14,14,14,34455,0.04,1.77,"1-499 sequences",142.65,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Haiti","HTI","Americas","0 - Unreliable",1,114.03,NaN,0,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",95,95,95,22933,0.41,0.82,"1-499 sequences",1.8,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Heard Island and McDonald Islands","HMD","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Honduras","HND","Americas","0 - Unreliable",1,99.05,33.38,10472.0646138314,0.359800551068297,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",116,116,116,372179,0.03,1.15,"1-499 sequences",23.36,"Lower middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Hong Kong SAR, China","HKG","Western Pacific","1 - Reliable",1,74.97,1183.81,345552.39429105,NaN,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",4949,5015,2623,12294,40.26,65.53,"500+ sequences",NaN,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Hungary","HUN","Europe","1 - Reliable",1,96.6,362.19,74348.7060041408,0.116574504478853,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",435,435,314,833115,0.05,4.52,"1-499 sequences",53.53,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage"
NaN,"Iceland","ISL","Europe","1 - Reliable",1,3.41,1021.41,162046.33431085,0.0229886097528313,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",9678,9678,9647,12455,77.7,2818.62,"500+ sequences",82.39,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"India","IND","South-East Asia","1 - Reliable",1,13800.04,161.31,43074.5048565077,0.0573564243211256,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",65629,69859,62378,34081315,0.19,4.71,"500+ sequences",9.16,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"India-Pakistan Line of Control","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Indonesia","IDN","South-East Asia","1 - Reliable",1,2735.24,98.2,16036.310890452,0.09657961479701,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",7852,7853,7672,4234758,0.19,2.84,"500+ sequences",2.78,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Iran","IRN","Eastern Mediterranean","1 - Reliable",1,839.93,158.11,37684.149869632,0.183557379920566,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",605,606,280,5784815,0.01,0.71,"500+ sequences",94.8,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Iraq","IRQ","Eastern Mediterranean","1 - Reliable",1,402.23,808.92,65229.1276135544,0.0777085145651701,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",275,275,156,2035453,0.01,0.67,"1-499 sequences",28.57,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Ireland","IRL","Europe","1 - Reliable",1,49.38,461.57,95472.0939651681,0.0888948611194779,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",36180,36180,36157,415114,8.72,726.08,"500+ sequences",229.55,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Isle of Man","IMN","Europe","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",483.35,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Israel","ISR","Europe","1 - Reliable",1,86.56,915.81,196549.803604436,0.0775274077399567,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",16079,16080,15898,1316317,1.22,182.93,"500+ sequences",144.54,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Italy","ITA","Europe","1 - Reliable",1,604.62,525.75,162634.439813437,0.0480228849123279,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",65116,67539,60976,4717899,1.38,107.87,"500+ sequences",29.75,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Ivory Coast","CIV","Africa","1 - Reliable",1,263.78,15.16,4029.45257411479,0.0574744869878228,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",236,236,236,61038,0.39,0.87,"1-499 sequences",1.16,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Jamaica","JAM","Americas","1 - Reliable",1,29.61,82.9,19991.7933130699,0.148096905687406,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",177,177,177,87389,0.2,5.95,"1-499 sequences",42.08,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Japan","JPN","Western Pacific","1 - Reliable",1,1264.76,94.63,19973.240772953,0.0679344766765489,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",129929,130768,127721,1715513,7.57,103.08,"500+ sequences",3.87,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Jersey","JEY","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",168.84,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Jordan","JOR","Eastern Mediterranean","1 - Reliable",1,102.03,420.65,72596.8146623542,0.114053591894104,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",833,833,637,841489,0.1,8.11,"500+ sequences",72.2,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Kazakhstan","KAZ","Europe","1 - Reliable",1,187.77,277.26,60052.2873728498,0.0886282728530586,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",464,465,381,996141,0.05,2.44,"1-499 sequences",71.48,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Kenya","KEN","Africa","1 - Reliable",1,537.71,14.77,4914.61382529616,0.0954345980927384,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",3568,3569,3483,252033,1.42,6.49,"500+ sequences",1.81,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Kiribati","KIR","Western Pacific","1 - Reliable",1,1.19,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,2,0,0,"0 sequences",0,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Kosovo","XKX","Europe","0 - Unreliable",NaN,18,508.64,52988.5555555556,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,699,NaN,NaN,NaN,NaN,"500+ sequences",10.3,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
NaN,"Kuwait","KWT","Eastern Mediterranean","1 - Reliable",1,42.71,1014.75,106070.498712245,0.09103274395726,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",298,298,252,412332,0.07,6.88,"1-499 sequences",6.11,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage"
NaN,"Kyrgyzstan","KGZ","Europe","0 - Unreliable",1,65.24,343.93,46790.2053954629,0.0589682279950193,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,179845,0,0,"0 sequences",8.38,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Laos","LAO","Western Pacific","1 - Reliable",1,72.76,37.1,4192.04233095107,0.108097031929787,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",18,23,0,32029,0.06,0.24,"1-499 sequences",48.13,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Latvia","LVA","Europe","1 - Reliable",1,18.86,907.58,192882.926829268,0.0518784574734205,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",5598,5624,5595,185614,3.02,299.85,"500+ sequences",615.67,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Lebanon","LBN","Eastern Mediterranean","1 - Reliable",1,68.25,283.49,69324.1904761905,0.134140469918265,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",1019,1020,1003,633909,0.16,15.05,"500+ sequences",57.43,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Lesotho","LSO","Africa","1 - Reliable",1,21.42,100.82,10135.6676003735,0.0992925114920822,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",18,18,18,21530,0.08,0.83,"1-499 sequences",2.71,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Liberia","LBR","Africa","1 - Reliable",1,50.58,21.09,2764.4128113879,0.0423031811420071,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",77,77,77,5803,1.33,1.49,"1-499 sequences",0.08,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Libya","LBY","Eastern Mediterranean","1 - Reliable",1,68.71,118.1,25015.9074370543,0.204337452577111,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",22,22,12,349990,0.01,0.32,"1-499 sequences",60.48,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Liechtenstein","LIE","Europe","1 - Reliable",1,0.38,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",109,130,109,3584,3.04,284.94,"1-499 sequences",36.13,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Lithuania","LTU","Europe","1 - Reliable",1,27.22,742.86,166895.628214548,0.0820148103666844,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",20387,20589,20325,368641,5.53,757.92,"500+ sequences",560.76,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Luxembourg","LUX","Europe","1 - Reliable",1,6.26,1694.61,494538.817891374,0.0258688105515417,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",12752,12752,12749,79720,16,2008.78,"500+ sequences",108.93,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Macao SAR, China","MAC","Western Pacific","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",NaN,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Madagascar","MDG","Africa","1 - Reliable",1,276.91,4.55,850.406269184934,0.185242434794425,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",722,722,722,43616,1.66,2.54,"500+ sequences",0.02,"Low income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Malawi","MWI","Africa","1 - Reliable",1,191.3,13.13,2192.50392054365,0.147182101252664,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",585,586,574,61716,0.95,2.98,"500+ sequences",0.31,"Low income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
NaN,"Malaysia","MYS","Western Pacific","1 - Reliable",1,323.66,284.15,41780.139652722,0.177619178617067,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",3807,3807,3717,2390687,0.16,11.62,"500+ sequences",178.25,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Maldives","MDV","South-East Asia","0 - Unreliable",NaN,5.41,2230.04,289658.410351201,0.0550868765044172,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",362,362,361,86165,0.42,66.59,"1-499 sequences",90.65,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Mali","MLI","Africa","1 - Reliable",1,202.51,7.03,2195.61503135648,0.0352514652500708,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",71,71,71,15619,0.45,0.34,"1-499 sequences",0.83,"Low income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Malta","MLT","Europe","1 - Reliable",1,4.42,866.54,274085.067873303,0.0309429314807967,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",256,299,251,37453,0.68,49.75,"1-499 sequences",25.07,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Marshall Islands","MHL","Western Pacific","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,4,0,0,"0 sequences",0,"Upper middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Mauritania","MRT","Africa","1 - Reliable",1,46.5,53.81,12445.3333333333,0.0635190804343469,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,36677,0,0,"0 sequences",5.12,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Mauritius","MUS","Africa","1 - Reliable",1,12.72,391.38,28272.5628930818,0.0467289719626168,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",271,271,266,16621,1.63,21.28,"1-499 sequences",22.25,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Mexico","MEX","Americas","1 - Reliable",1,1289.33,33.81,8613.44108955814,0.338431046480468,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",32028,32055,31933,3757056,0.85,24.59,"500+ sequences",31.42,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Micronesia","FSM","Western Pacific","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",0,"Lower middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Moldova","MDA","Europe","0 - Unreliable",1,40.34,479.35,29214.9479424888,0.271196939240461,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",67,67,67,316529,0.02,1.66,"1-499 sequences",231.66,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
