"Country","Region","WHO testing Capacity","Max 30-day average of new tests per capita","Sequencing capacity","Cumulative GISAID sequences","New cases per capita in the last 7 days per 100k","Archetype"
"Tunisia","Eastern Mediterranean","1 - Reliable",145.21,"1 - 1-3 NGS facilities or equivalent",132,11.18,"3 - Leverage"
"Turkey","Europe","1 - Reliable",375.87,"2 - 4+ NGS facilities or equivalent",65452,252.44,"4 - Strengthen"
"Turkmenistan","Europe","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"2 - Connect"
"Turks and Caicos Islands","Americas","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",16,59.4,"0 - High Income*"
"Tuvalu","Western Pacific","0 - Unreliable",NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"U.S. Virgin Islands","Americas","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",428,89.06,"0 - High Income*"
"Uganda","Africa","1 - Reliable",15.87,"1 - 1-3 NGS facilities or equivalent",712,1.46,"4 - Strengthen"
"Ukraine","Europe","1 - Reliable",105.37,"1 - 1-3 NGS facilities or equivalent",320,227.81,"3 - Leverage"
"United Arab Emirates","Eastern Mediterranean","1 - Reliable",3134.75,"2 - 4+ NGS facilities or equivalent",2629,9.33,"0 - High Income*"
"United Kingdom","Europe","1 - Reliable",1750.07,"2 - 4+ NGS facilities or equivalent",1046821,392.16,"0 - High Income*"
"United Nations Buffer Zone in Cyprus","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States Minor Outlying Islands","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"United States of America","Americas","1 - Reliable",697.47,"2 - 4+ NGS facilities or equivalent",1330823,187.46,"0 - High Income*"
"Uruguay","Americas","0 - Unreliable",546.23,"2 - 4+ NGS facilities or equivalent",740,25.07,"0 - High Income*"
"Uzbekistan","Europe","1 - Reliable",45.89,"0 - 0 NGS facilities or equivalent",90,8.21,"2 - Connect"
"Vanuatu","Western Pacific","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",2,0,"2 - Connect"
"Vatican City","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,0,"1 - Test"
"Venezuela","Americas","1 - Reliable",61.32,"1 - 1-3 NGS facilities or equivalent",171,33.9,"3 - Leverage"
"Vietnam","Western Pacific","1 - Reliable",13.21,"1 - 1-3 NGS facilities or equivalent",695,27.74,"4 - Strengthen"
"Wallis and Futuna","",NaN,NaN,"0 - 0 NGS facilities or equivalent",10,0,"1 - Test"
"West Bank and Gaza","Eastern Mediterranean","0 - Unreliable",242.23,"0 - 0 NGS facilities or equivalent",132,105.03,"2 - Connect"
"Western Sahara","",NaN,9.15,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Western Sahara - Morocco Disputed Boundary","",NaN,NaN,"0 - 0 NGS facilities or equivalent",0,NaN,"1 - Test"
"Yemen","Eastern Mediterranean","1 - Reliable",NaN,"0 - 0 NGS facilities or equivalent",0,0.56,"2 - Connect"
"Zambia","Africa","1 - Reliable",55.74,"1 - 1-3 NGS facilities or equivalent",970,0.89,"4 - Strengthen"
"Zimbabwe","Africa","1 - Reliable",77.95,"0 - 0 NGS facilities or equivalent",659,4.53,"3 - Leverage"
