"name","code","population_size","sequencing_capacity","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","Date tests last reported","Days since tests were reported","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_sequencing","ngs_capacity","facility_access","cases_per_100k_last_7_days","old_archetype","archetype_orig","archetype_orig_w_HICs","archetype_new","Archetype","archetype_full_new","Archetype*","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cases in the last 7 days"
"Ethiopia","ETH",117876226,"0 NGS facilities or equivalent",0.130265449281038,0.0545196042310803,"Reliable testing capacity","January 03, 2022",1,0.17,0.438,"Insufficient sequencing capacity",0,"No NGS facilities",23,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","13 %","0.05 per 1000 persons","0.17 %","0.4 per 100k persons","23 per 100k persons"
"Faroe Islands","FRO",49053,"0 NGS facilities or equivalent",0,25.0101202124685,"Insufficient data","January 04, 2022",0,0.08,10.193,"Insufficient sequencing capacity",0,"No NGS facilities",2823.5,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","0 %","25.01 per 1000 persons","0.08 %","10.2 per 100k persons","2823.5 per 100k persons"
"Fiji","FJI",902899,"0 NGS facilities or equivalent",0.118317047364163,1.38699930939227,"Reliable testing capacity","December 29, 2021",6,0.94,57.371,"Sufficient sequencing capacity",0,"No NGS facilities",220,"Leverage","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","11.8 %","1.39 per 1000 persons","0.94 %","57.4 per 100k persons","220 per 100k persons"
"Finland","FIN",5548361,"4+ NGS facilities or equivalent",0.0222377419397003,3.11604684428846,"Reliable testing capacity","September 15, 2021",111,8.61,381.518,"Sufficient sequencing capacity",2,"1 or more NGS facilities",830.4,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","2.2 %","3.12 per 1000 persons","8.61 %","381.5 per 100k persons","830.4 per 100k persons"
"France","FRA",67422000,"4+ NGS facilities or equivalent",0.0503227077253456,6.56095506360753,"Reliable testing capacity","January 04, 2022",0,1.72,211.381,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1874.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","5 %","6.56 per 1000 persons","1.72 %","211.4 per 100k persons","1874.2 per 100k persons"
"French Polynesia","PYF",282534,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","September 07, 2020",484,0.12,12.742,"Insufficient sequencing capacity",0,"No NGS facilities",32.6,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.12 %","12.7 per 100k persons","32.6 per 100k persons"
"Gabon","GAB",2278829,"1-3 NGS facilities or equivalent",0.0287796100497322,1.37278366502972,"Reliable testing capacity","January 03, 2022",1,0.5,7.197,"Sufficient sequencing capacity",1,"1 or more NGS facilities",119.8,"Leverage","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","2.9 %","1.37 per 1000 persons","0.5 %","7.2 per 100k persons","119.8 per 100k persons"
"Georgia","GEO",3979773,"1-3 NGS facilities or equivalent",0.0879467831612391,2.20552301962928,"Insufficient data","June 16, 2021",202,0.12,20.755,"Insufficient sequencing capacity",1,"1 or more NGS facilities",355.4,"Leverage","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","8.8 %","2.21 per 1000 persons","0.12 %","20.8 per 100k persons","355.4 per 100k persons"
"Germany","DEU",83900471,"4+ NGS facilities or equivalent",0.093701519338385,1.92753263774167,"Reliable testing capacity","December 14, 2021",21,5.88,387.355,"Sufficient sequencing capacity",2,"1 or more NGS facilities",311.5,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","9.4 %","1.93 per 1000 persons","5.88 %","387.4 per 100k persons","311.5 per 100k persons"
"Ghana","GHA",31732128,"1-3 NGS facilities or equivalent",0.0613163995342884,0.128059113118071,"Reliable testing capacity","January 03, 2022",1,2.24,6.501,"Sufficient sequencing capacity",1,"1 or more NGS facilities",22,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","6.1 %","0.13 per 1000 persons","2.24 %","6.5 per 100k persons","22 per 100k persons"
"Gibraltar","GIB",33691,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,36.14,7022.647,"Sufficient sequencing capacity",0,"No NGS facilities",2261.7,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","36.14 %","7022.6 per 100k persons","2261.7 per 100k persons"
"Greece","GRC",10370747,"4+ NGS facilities or equivalent",0.0245566436932248,11.7459509330656,"Reliable testing capacity","January 04, 2022",0,0.96,111.689,"Sufficient sequencing capacity",2,"1 or more NGS facilities",2304.9,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","2.5 %","11.75 per 1000 persons","0.96 %","111.7 per 100k persons","2304.9 per 100k persons"
"Greenland","GRL",56868,"0 NGS facilities or equivalent",0,3.02743086529884,"Insufficient data","August 25, 2021",132,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",1225.6,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","0 %","3.03 per 1000 persons","0 %","0 per 100k persons","1225.6 per 100k persons"
"Grenada","GRD",113015,"0 NGS facilities or equivalent",0.0797914995990377,1.87450600072736,"Reliable testing capacity","January 04, 2022",0,0.65,38.048,"Sufficient sequencing capacity",0,"No NGS facilities",724.7,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","8 %","1.87 per 1000 persons","0.65 %","38 per 100k persons","724.7 per 100k persons"
"Guam","GUM",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",NaN,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Guatemala","GTM",18249868,"1-3 NGS facilities or equivalent",0.184494333080434,0.406539344949184,"Unreliable testing capacity","January 04, 2022",0,0.25,6.756,"Insufficient sequencing capacity",1,"1 or more NGS facilities",21.7,"Strengthen","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","18.4 %","0.41 per 1000 persons","0.25 %","6.8 per 100k persons","21.7 per 100k persons"
"Guinea","GIN",13497237,"0 NGS facilities or equivalent",0.0635885875597824,0.0608927213575756,"Reliable testing capacity","January 03, 2022",1,0.71,1.015,"Sufficient sequencing capacity",0,"No NGS facilities",13.4,"Test","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","6.4 %","0.06 per 1000 persons","0.71 %","1 per 100k persons","13.4 per 100k persons"
"Guinea-Bissau","GNB",2015490,"0 NGS facilities or equivalent",0.0538891713268937,0.104056687827152,"Reliable testing capacity","January 03, 2022",1,0.96,1.935,"Sufficient sequencing capacity",0,"No NGS facilities",2,"Test","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5.4 %","0.1 per 1000 persons","0.96 %","1.9 per 100k persons","2 per 100k persons"
"Guyana","GUY",790329,"0 NGS facilities or equivalent",0.0864252003246165,1.34018873171024,"Reliable testing capacity","December 28, 2021",7,0.15,6.453,"Insufficient sequencing capacity",0,"No NGS facilities",188.3,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","8.6 %","1.34 per 1000 persons","0.15 %","6.5 per 100k persons","188.3 per 100k persons"
"Haiti","HTI",11541683,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0.41,0.572,"Insufficient sequencing capacity",0,"No NGS facilities",2.1,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.41 %","0.6 per 100k persons","2.1 per 100k persons"
"Honduras","HND",10062994,"0 NGS facilities or equivalent",0.308375692521609,0.236438276300915,"Unreliable testing capacity","December 22, 2021",13,0.05,1.153,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Test","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","30.8 %","0.24 per 1000 persons","0.05 %","1.2 per 100k persons","0 per 100k persons"
"Hong Kong SAR, China","HKG",7552800,"4+ NGS facilities or equivalent",0,9.40608937638983,"Insufficient data","December 14, 2021",21,27.04,13.147,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1.1,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","0 %","9.41 per 1000 persons","27.04 %","13.1 per 100k persons","1.1 per 100k persons"
"Hungary","HUN",9634162,"4+ NGS facilities or equivalent",0.143545427912708,1.84326725091466,"Reliable testing capacity","January 04, 2022",0,0.01,0.706,"Insufficient sequencing capacity",2,"1 or more NGS facilities",187,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","14.4 %","1.84 per 1000 persons","0.01 %","0.7 per 100k persons","187 per 100k persons"
"Iceland","ISL",368792,"1-3 NGS facilities or equivalent",0.0239431670221754,7.52192985979994,"Reliable testing capacity","January 04, 2022",0,17.18,1246.231,"Sufficient sequencing capacity",1,"1 or more NGS facilities",1959.4,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","2.4 %","7.52 per 1000 persons","17.18 %","1246.2 per 100k persons","1959.4 per 100k persons"
"India","IND",1393409033,"4+ NGS facilities or equivalent",0.0486795197642002,1.00319363775519,"Reliable testing capacity","January 04, 2022",0,0.33,5.906,"Insufficient sequencing capacity",2,"1 or more NGS facilities",15,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","4.9 %","1 per 1000 persons","0.33 %","5.9 per 100k persons","15 per 100k persons"
"Indonesia","IDN",276361788,"4+ NGS facilities or equivalent",0.0602342418445417,0.58411526032726,"Reliable testing capacity","January 04, 2022",0,0.32,4.067,"Insufficient sequencing capacity",2,"1 or more NGS facilities",0.6,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","6 %","0.58 per 1000 persons","0.32 %","4.1 per 100k persons","0.6 per 100k persons"
"Iran","IRN",85028760,"4+ NGS facilities or equivalent",0.144561023964947,1.12557608844421,"Reliable testing capacity","December 30, 2021",5,0,0.285,"Insufficient sequencing capacity",2,"1 or more NGS facilities",13.5,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","14.5 %","1.13 per 1000 persons","0 %","0.3 per 100k persons","13.5 per 100k persons"
"Iraq","IRQ",41179351,"1-3 NGS facilities or equivalent",0.122136218151401,0.835300255868056,"Reliable testing capacity","December 21, 2021",14,0.01,0.43,"Insufficient sequencing capacity",1,"1 or more NGS facilities",4.4,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","12.2 %","0.84 per 1000 persons","0.01 %","0.4 per 100k persons","4.4 per 100k persons"
"Ireland","IRL",4982904,"4+ NGS facilities or equivalent",0.0898126684826685,4.22158902623942,"Reliable testing capacity","December 30, 2021",5,5.87,894.117,"Sufficient sequencing capacity",2,"1 or more NGS facilities",2724,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","9 %","4.22 per 1000 persons","5.87 %","894.1 per 100k persons","2724 per 100k persons"
"Isle of Man","IMN",85410,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",4083.8,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","4083.8 per 100k persons"
"Israel","ISR",9291000,"4+ NGS facilities or equivalent",0.0339465302383928,8.98837104043755,"Reliable testing capacity","January 04, 2022",0,3.72,385.976,"Sufficient sequencing capacity",2,"1 or more NGS facilities",439.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","3.4 %","8.99 per 1000 persons","3.72 %","386 per 100k persons","439.1 per 100k persons"
"Italy","ITA",60367471,"4+ NGS facilities or equivalent",0.0360072528049169,5.1540593593712,"Reliable testing capacity","January 04, 2022",0,1.77,129.079,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1342.7,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","3.6 %","5.15 per 1000 persons","1.77 %","129.1 per 100k persons","1342.7 per 100k persons"
"Ivory Coast","CIV",27053629,"0 NGS facilities or equivalent",0.0500687889009523,0.100257063534681,"Reliable testing capacity","January 03, 2022",1,0.3,0.566,"Insufficient sequencing capacity",0,"No NGS facilities",32.2,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","5 %","0.1 per 1000 persons","0.3 %","0.6 per 100k persons","32.2 per 100k persons"
"Jamaica","JAM",2973462,"0 NGS facilities or equivalent",0.142155752483847,0.527491559258287,"Reliable testing capacity","December 26, 2021",9,0.52,14.428,"Sufficient sequencing capacity",0,"No NGS facilities",113.7,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","14.2 %","0.53 per 1000 persons","0.52 %","14.4 per 100k persons","113.7 per 100k persons"
"Japan","JPN",126050796,"4+ NGS facilities or equivalent",0.0650047011463908,0.512276351575065,"Reliable testing capacity","December 21, 2021",14,10.66,125.733,"Sufficient sequencing capacity",2,"1 or more NGS facilities",3.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","6.5 %","0.51 per 1000 persons","10.66 %","125.7 per 100k persons","3.2 per 100k persons"
"Jordan","JOR",10269022,"4+ NGS facilities or equivalent",0.0745347147583389,2.77520010454442,"Reliable testing capacity","December 27, 2021",8,0.09,6.32,"Insufficient sequencing capacity",2,"1 or more NGS facilities",0,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","7.5 %","2.78 per 1000 persons","0.09 %","6.3 per 100k persons","0 per 100k persons"
"Kazakhstan","KAZ",18994958,"1-3 NGS facilities or equivalent",0.0371954932001448,2.30043123389847,"Insufficient data","May 28, 2021",221,0.05,2.101,"Insufficient sequencing capacity",1,"1 or more NGS facilities",14.5,"Leverage","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","3.7 %","2.3 per 1000 persons","0.05 %","2.1 per 100k persons","14.5 per 100k persons"
"Kenya","KEN",54985702,"1-3 NGS facilities or equivalent",0.101270181442176,0.100472908577547,"Reliable testing capacity","January 03, 2022",1,1.91,7.138,"Sufficient sequencing capacity",1,"1 or more NGS facilities",30,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","10.1 %","0.1 per 1000 persons","1.91 %","7.1 per 100k persons","30 per 100k persons"
"Kiribati","KIR",121388,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","Insufficient Data","0 per 100k persons"
"Kosovo","XKX",NaN,"0 NGS facilities or equivalent",0,NaN,"Insufficient data","December 30, 2021",5,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",NaN,"Leverage","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","0 %","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Kuwait","KWT",4328553,"1-3 NGS facilities or equivalent",0.046740562248996,3.71601611235402,"Reliable testing capacity","December 29, 2021",6,0.12,7.3,"Insufficient sequencing capacity",1,"1 or more NGS facilities",118.2,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","4.7 %","3.72 per 1000 persons","0.12 %","7.3 per 100k persons","118.2 per 100k persons"
"Kyrgyzstan","KGZ",6628347,"0 NGS facilities or equivalent",0.014690921176895,2.18594394020478,"Insufficient data","June 23, 2021",195,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",4.9,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","1.5 %","2.19 per 1000 persons","0 %","0 per 100k persons","4.9 per 100k persons"
"Laos","LAO",7379358,"0 NGS facilities or equivalent",0.0108637912798214,0.157185650865713,"Insufficient data","July 06, 2021",182,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",84.2,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","1.1 %","0.16 per 1000 persons","0 %","0 per 100k persons","84.2 per 100k persons"
"Latvia","LVA",1866934,"1-3 NGS facilities or equivalent",0.050336625690634,6.80469356033644,"Reliable testing capacity","January 04, 2022",0,3,380.088,"Sufficient sequencing capacity",1,"1 or more NGS facilities",341.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","5 %","6.8 per 1000 persons","3 %","380.1 per 100k persons","341.1 per 100k persons"
"Lebanon","LBN",6769151,"4+ NGS facilities or equivalent",0.13269330471948,2.29844968133985,"Insufficient data","June 23, 2021",195,0.18,14.477,"Insufficient sequencing capacity",2,"1 or more NGS facilities",367.3,"Strengthen","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","13.3 %","2.3 per 1000 persons","0.18 %","14.5 per 100k persons","367.3 per 100k persons"
"Lesotho","LSO",2159067,"0 NGS facilities or equivalent",0.0877230782697105,0.379925303454715,"Reliable testing capacity","January 03, 2022",1,0.06,0.741,"Insufficient sequencing capacity",0,"No NGS facilities",86.8,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","8.8 %","0.38 per 1000 persons","0.06 %","0.7 per 100k persons","86.8 per 100k persons"
"Liberia","LBR",5180208,"0 NGS facilities or equivalent",0.0504560164754339,0.060179529399267,"Reliable testing capacity","September 26, 2021",100,1.67,1.486,"Sufficient sequencing capacity",0,"No NGS facilities",3.4,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","5 %","0.06 per 1000 persons","1.67 %","1.5 per 100k persons","3.4 per 100k persons"
"Libya","LBY",6958538,"0 NGS facilities or equivalent",0.198136614825085,0.580628530073786,"Unreliable testing capacity","January 03, 2022",1,0.02,0.661,"Insufficient sequencing capacity",0,"No NGS facilities",58.3,"Connect","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","19.8 %","0.58 per 1000 persons","0.02 %","0.7 per 100k persons","58.3 per 100k persons"
"Liechtenstein","LIE",38254,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,11.56,1223.401,"Sufficient sequencing capacity",0,"No NGS facilities",755.5,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","11.56 %","1223.4 per 100k persons","755.5 per 100k persons"
"Lithuania","LTU",2689862,"1-3 NGS facilities or equivalent",0.0715356775928135,5.30882107233803,"Reliable testing capacity","January 04, 2022",0,6.85,959.269,"Sufficient sequencing capacity",1,"1 or more NGS facilities",468.9,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","7.2 %","5.31 per 1000 persons","6.85 %","959.3 per 100k persons","468.9 per 100k persons"
"Luxembourg","LUX",634814,"4+ NGS facilities or equivalent",0.0257871732074012,9.41443965897658,"Reliable testing capacity","December 29, 2021",6,29.34,2738.282,"Sufficient sequencing capacity",2,"1 or more NGS facilities",950.2,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","2.6 %","9.41 per 1000 persons","29.34 %","2738.3 per 100k persons","950.2 per 100k persons"
"Macao SAR, China","MAC",658391,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",0.2,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","0.2 per 100k persons"
"Madagascar","MDG",28427333,"1-3 NGS facilities or equivalent",0.145410285916615,0.0223543280715805,"Reliable testing capacity","December 29, 2021",6,1.21,1.481,"Sufficient sequencing capacity",1,"1 or more NGS facilities",10,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","14.5 %","0.02 per 1000 persons","1.21 %","1.5 per 100k persons","10 per 100k persons"
"Malawi","MWI",19647681,"0 NGS facilities or equivalent",0.172358951331907,0.0570915652815273,"Unreliable testing capacity","January 03, 2022",1,1.12,3.985,"Sufficient sequencing capacity",0,"No NGS facilities",23.7,"Leverage","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","17.2 %","0.06 per 1000 persons","1.12 %","4 per 100k persons","23.7 per 100k persons"
"Malaysia","MYS",32776195,"1-3 NGS facilities or equivalent",0.0600735509372009,1.73124947419909,"Insufficient data","June 16, 2021",202,0.26,21.418,"Insufficient sequencing capacity",1,"1 or more NGS facilities",70.3,"Strengthen","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","6 %","1.73 per 1000 persons","0.26 %","21.4 per 100k persons","70.3 per 100k persons"
"Maldives","MDV",543620,"0 NGS facilities or equivalent",0.0471620791144396,9.69829127090158,"Reliable testing capacity","November 09, 2021",56,1.08,164.821,"Sufficient sequencing capacity",0,"No NGS facilities",239.1,"Connect","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","4.7 %","9.7 per 1000 persons","1.08 %","164.8 per 100k persons","239.1 per 100k persons"
"Mali","MLI",20855724,"1-3 NGS facilities or equivalent",0.0361109273965843,0.0531848587893174,"Reliable testing capacity","January 03, 2022",1,0.3,0.221,"Insufficient sequencing capacity",1,"1 or more NGS facilities",10,"Leverage","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","3.6 %","0.05 per 1000 persons","0.3 %","0.2 per 100k persons","10 per 100k persons"
"Malta","MLT",516100,"0 NGS facilities or equivalent",0.0339903809495036,6.34103598014888,"Reliable testing capacity","September 06, 2021",120,1.44,119.938,"Sufficient sequencing capacity",0,"No NGS facilities",1517,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","3.4 %","6.34 per 1000 persons","1.44 %","119.9 per 100k persons","1517 per 100k persons"
"Marshall Islands","MHL",59618,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,0,NaN,0,"No NGS facilities",0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","0 per 100k persons","0 per 100k persons"
"Mauritania","MRT",4775110,"0 NGS facilities or equivalent",0.0487852546221444,0.331615259979378,"Reliable testing capacity","January 03, 2022",1,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",57.8,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","4.9 %","0.33 per 1000 persons","0 %","0 per 100k persons","57.8 per 100k persons"
"Mauritius","MUS",1273428,"0 NGS facilities or equivalent",0.242992628761914,0.137814788932888,"Unreliable testing capacity","September 01, 2021",125,2.21,40.128,"Sufficient sequencing capacity",0,"No NGS facilities",30.9,"High Income*","High Income*","Test","High Income*","High Income*","High Income*","Test - Increase diagnostic testing capacity","24.3 %","0.14 per 1000 persons","2.21 %","40.1 per 100k persons","30.9 per 100k persons"
"Mexico","MEX",130262220,"4+ NGS facilities or equivalent",0.291254142089914,0.18607415192493,"Unreliable testing capacity","January 04, 2022",0,1.58,30.905,"Sufficient sequencing capacity",2,"1 or more NGS facilities",43.5,"Strengthen","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","29.1 %","0.19 per 1000 persons","1.58 %","30.9 per 100k persons","43.5 per 100k persons"
"Micronesia","FSM",116255,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","Insufficient Data","0 per 100k persons"
