"name","code","region","ngs_capacity","facility_access","who_testing_capacity","sequencing_capacity","cum_tests_per_100k","cum_tpr","total_tests","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","tests_in_last_year_raw","cases_in_last_year_raw","tests_in_last_year_sum_avg","cases_in_last_year_sum_avg","tests_in_last_year_smoothed","cases_in_last_year_smoothed","cases_in_last_year_smoothed_truncated","avg_tpr_find","tpr_year_raw","tpr_year_smoothed","tpr_year_smoothed_truncated","avg_daily_test_per_1000_last_year_raw","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","cases_per_100k_last_90_days","percent_of_cases_sequenced_last_90_days","per_capita_seq_rate_in_last_90_days","max_prevalence_variant_pct","cases_in_last_7_days","cases_per_100k_last_7_days","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","country","old_test_archetype","old_sequencing_archetype","old_archetype","world_bank_economies","sars_cov_2_sequencing","archetype_orig","archetype_orig_w_HICs","archetype_new"
"Cyprus","CYP","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",726198.425849213,0.020898289431577,8765215,2021-07-11,TRUE,177,8099092,158747,8099092.01,145367.69,7940951,147216,62198,0.010764644735391,0.0196005922639229,0.0185388374767707,0.00783256312751458,18.3838385672618,34.4454512724639,"Reliable testing capacity",62417,50,896005,6966.14416214195,0.0801063812743323,5.58032600264507,5.81550791169723,28252,3153.1,158747,124,0.08,13.839,"Cyprus","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Leverage","High Income*"
"Czech Republic","CZE","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",440036.221869456,0.0529066412944596,47123479,2022-01-04,TRUE,0,43275415,1749741,43126330.31,1726582.55,43154015,1770225,1770225,0.0948128201973062,0.0404326798483619,0.041021096183055,0.041021096183055,11.0713213952673,11.0402631508256,"Reliable testing capacity",797129,9132,10724553,7432.74801290086,1.14561131259809,85.1504020727018,0.0327993972364049,38500,359,1746431,21250,1.22,198.143,"Czech Republic","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Democratic Republic of the Congo","COD","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",982.032357834325,0.0901334594630241,877293,2022-01-03,TRUE,1,781850,61121,772594.35,57208.11,774950,57678,57678,0.170345148867169,0.0781748417215579,0.0744280276146848,0.0744280276146848,0.0239172719657055,0.0237061967254888,"Reliable testing capacity",22191,0,92377986,24.0219569194765,0,0,100,6925,7.5,61121,108,0.18,0.117,"Democratic Republic of the Congo","Reliable testing capacity","500+ sequences","Strengthen","Low income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Denmark","DNK","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",1837926.69198895,0.0082185786263749,106452714,2021-12-30,TRUE,5,97698043,705455,96614570.23,654448.95,95933652,661122,626291,0.00737962039423801,0.00722076899738923,0.00689145035362565,0.00652837650754711,46.213030254295,45.628458746176,"Reliable testing capacity",503649,115911,5813302,8663.7336233349,23.0142420614356,1993.89262763228,0.00258447736743994,126039,2168.1,694323,251346,36.2,4323.636,"Denmark","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Djibouti","DJI","Eastern Mediterranean",0,"No NGS facilities",1,"0 NGS facilities or equivalent",26280.971659919,0.0530278522352651,259209,2022-01-03,TRUE,1,158461,7923,157612.99,7830.92,158067,7840,7840,0.0400540157598475,0.0499996844649472,0.0495992205836765,0.0495992205836765,0.439412678165382,0.438320115356885,"Reliable testing capacity",653,18,1002197,65.1568503996719,2.75650842266462,1.79605406920995,15.3317553957278,166,16.6,7923,316,3.99,31.531,"Djibouti","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Dominica","DMA","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",172556.944444444,0.0569296769987363,124241,2021-12-28,TRUE,7,117623,7019,117622.92,6776.17,116660,6801,6587,0.0349061993514847,0.0596737032723192,0.0582976170066861,0.056463226470084,4.47576103500761,4.48830409356725,"Reliable testing capacity",3229,9,72172,4474.03425151028,0.278724063177454,12.4702100537605,28.3128835563113,514,712.2,6985,25,0.36,34.639,"Dominica","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Dominican Republic","DOM","Americas",1,"1 or more NGS facilities",0,"1-3 NGS facilities or equivalent",18801.2629056047,0.210098643776774,2039561,2021-09-23,TRUE,103,1173967,253135,1166208.71,246272.16,1163685,249293,184535,0.149751830512617,0.215623607818618,0.214227217846754,0.158578137554407,0.296492251586051,0.404799423943897,"Unreliable testing capacity",65660,261,10953714,599.43138920735,0.397502284495888,2.38275346608465,1.14122816198035,13150,120.1,253135,700,0.28,6.391,"Dominican Republic","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Test","Test","Test"
"East Timor","TLS","South-East Asia",0,"No NGS facilities",1,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,19793,0,19790.75,0,19781,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",229,0,1343875,17.0402753232257,0,0,100,9,0.7,19793,332,1.68,24.705,"East Timor","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Sufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Ecuador","ECU","Americas",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",12276.9483647906,0.255399529644667,2166022,2022-01-04,TRUE,0,1409070,338121,1388097.16,333624.5,1399632,336131,336131,0.22938786958532,0.239960399412378,0.240156698332133,0.240156698332133,0.218810052339435,0.21734445497807,"Unreliable testing capacity",41884,521,17888474,234.139591784073,1.24391175627925,2.91248990830632,0.573346656058782,10241,57.2,338121,3419,1.01,19.113,"Ecuador","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Test","Test","Test"
"Egypt","EGY","Eastern Mediterranean",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",5660.73934371763,0.067091373330035,5771627,2021-12-29,TRUE,6,4771627,245187,4771627.01,243032.59,4233637,246895,246895,0.137481849214394,0.0513843600935278,0.0583174702979967,0.0583174702979967,0.127747871527855,0.113344592016847,"Reliable testing capacity",79516,106,104258327,76.2682485783606,0.133306504351326,0.101670536109792,2.78660012452902,5648,5.4,245187,564,0.23,0.541,"Egypt","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"El Salvador","SLV","Americas",1,"1 or more NGS facilities",0,"1-3 NGS facilities or equivalent",32579.5405488745,0.0577646491496653,2095149,2021-12-27,TRUE,8,1505621,74976,1233381.08,74784.25,1003939,75527,75527,0.0834519455868283,0.049797392570906,0.0752306664050306,0.0752306664050306,0.635983509265478,0.424069967348008,"Reliable testing capacity",14728,65,6518500,225.941550970315,0.441336230309614,0.997161923755465,4.50422581230135,322,4.9,74976,299,0.4,4.587,"El Salvador","Reliable testing capacity","1-499 sequences","Leverage","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Equatorial Guinea","GNQ","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",19090.3064861012,0.0511878493262693,267432,2022-01-03,TRUE,1,190568,8431,190216.39,8419.37,190699,8430,8430,0.0412032687746514,0.044241425632845,0.0442057902768237,0.0442057902768237,0.37213407668499,0.37238988859489,"Reliable testing capacity",1178,0,1449891,81.2474868800482,0,0,100,73,5,8431,65,0.77,4.483,"Equatorial Guinea","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Eritrea","ERI","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",668.161308516638,0.343054910733128,23693,2020-12-21,FALSE,379,0,6765,0,6661.6,0,6726,0,NaN,Inf,Inf,NaN,0,NaN,"Insufficient data",1399,0,3601462,38.8453355887137,0,0,100,197,5.5,6765,0,0,0,"Eritrea","Unreliable testing capacity","0 sequences","Test","Low income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Estonia","EST","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",192031.122833459,0.0960395219783907,2548253,2022-01-04,TRUE,0,1902267,215212,1885940.64,212161.15,1890245,213703,213703,0.10074391323996,0.113134486378621,0.113055714999907,0.113055714999907,3.92742306779119,3.90260243003582,"Reliable testing capacity",83901,1632,1325188,6331.25262226944,1.94514964064791,123.152337630585,0.183393654515962,6654,502.1,215212,8052,3.74,607.612,"Estonia","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Eswatini","SWZ","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",38158.4482758621,0.150628730475016,441714,2022-01-03,TRUE,1,360813,56536,359641.15,56018.92,351687,56618,56618,0.123609639764763,0.156690584873605,0.160989743720979,0.160989743720979,0.852179971658007,0.830625885687293,"Unreliable testing capacity",20481,0,1172369,1746.97556827245,0,0,100,1801,153.6,56536,106,0.19,9.042,"Eswatini","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Test","Test","Test"
"Ethiopia","ETH","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",3594.50088723426,0.104735477020275,4123360,2022-01-03,TRUE,1,2311782,306888,2275810.86,296761.89,2287744,298014,298014,0.115737322370133,0.132749541262974,0.130265449281038,0.130265449281038,0.0550924577699844,0.0545196042310803,"Reliable testing capacity",81469,0,117876226,69.1140213464248,0,0,100,27062,23,306888,516,0.17,0.438,"Ethiopia","Reliable testing capacity","1-499 sequences","Connect","Low income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Faroe Islands","FRO","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",1336308.16326531,-Inf,654791,2022-01-04,TRUE,0,452674,0,444879.38,0,447306,0,0,NaN,0,0,0,25.3102599944087,25.0101202124685,"Insufficient data",5409,0,49053,11026.8485107944,0,0,100,1385,2823.5,6024,5,0.08,10.193,"Faroe Islands","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Fiji","FJI","Western Pacific",0,"No NGS facilities",1,"0 NGS facilities or equivalent",52583.3705357143,0.116755492447156,471147,2021-12-29,TRUE,6,450075,54960,449831.26,53993.32,449876,53986,53228,0.0652702457761924,0.122112981169805,0.120001956094568,0.118317047364163,1.37620780332681,1.38699930939227,"Reliable testing capacity",3681,0,902899,407.686795533055,0,0,100,1986,220,54960,518,0.94,57.371,"Fiji","Reliable testing capacity","500+ sequences","Leverage","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Finland","FIN","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",124289.839379173,0.0430097721761605,6886900,2021-09-15,TRUE,111,4420400,259026,4448200.06,238801.76,4437366,239516,98677,0.0217023954136981,0.0585978644466564,0.0539770665750808,0.0222377419397003,2.18564968985866,3.11604684428846,"Reliable testing capacity",138166,1799,5548361,2490.212875478,1.3020569459925,32.4239897151609,0.166383511928503,46076,830.4,245912,21168,8.61,381.518,"Finland","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"France","FRA","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",300392.863927444,0.0545434985564298,196307543,2022-01-04,TRUE,0,160144895,8326585,156352178.84,7808688.02,156314820,7866185,7866185,0.0479967274057844,0.0519940707444967,0.0503227077253456,0.0503227077253456,6.72171365300581,6.56095506360753,"Reliable testing capacity",3551932,48909,67422000,5268.20918987867,1.37696892845922,72.5416036308623,0.00612492696520084,1263608,1874.2,8283621,142517,1.72,211.381,"France","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"French Polynesia","PYF","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",3249.1103202847,-Inf,9130,2020-09-07,FALSE,484,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,"Insufficient data",1293,10,282534,457.644035762068,0.773395204949729,3.53939702832225,25.8865550893052,92,32.6,29486,36,0.12,12.742,"French Polynesia","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Gabon","GAB","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",66984.3665768194,0.0285968752682634,1488703,2022-01-03,TRUE,1,1117422,33035,1110678.98,32064.49,1115373,32100,32100,0.0286426653522271,0.0295635847513294,0.0287796100497322,0.0287796100497322,1.37530554222206,1.37278366502972,"Reliable testing capacity",11056,0,2278829,485.161457924223,0,0,100,2730,119.8,33035,164,0.5,7.197,"Gabon","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Georgia","GEO","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",71916.746051642,0.328425287728945,2868759,2021-06-16,FALSE,202,1650073,712410,1650072.97,705089,1460440,708511,128441,0.0908302673122432,0.431744534938757,0.485135301689902,0.0879467831612391,1.13330357112196,2.20552301962928,"Insufficient data",318343,500,3979773,7999.02406494039,0.157063293365961,12.5635306335311,0.59735515163496,14143,355.4,712410,826,0.12,20.755,"Georgia","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Germany","DEU","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",112878.427862122,0.0774071436204146,89622218,2021-12-14,TRUE,21,54820625,5525587,54730053.67,5403938.47,58946184,5523347,5523347,0.0835855413518304,0.100793943885171,0.093701519338385,0.093701519338385,1.79262738888911,1.92753263774167,"Reliable testing capacity",3036308,106020,83900471,3618.94035135989,3.49174062710371,126.364010519083,0.00282558946407274,261312,311.5,5524492,324993,5.88,387.355,"Germany","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Ghana","GHA","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",6859.6530750169,0.0690607553366174,2127773,2022-01-03,TRUE,1,1456315,92035,1446846.42,88831.49,1452401,89056,89056,0.0560135994565759,0.0631971791817018,0.0613163995342884,0.0613163995342884,0.128404212969106,0.128059113118071,"Reliable testing capacity",19044,264,31732128,60.014884598978,1.38626339004411,0.831964373772853,1.12833310242042,6982,22,92035,2063,2.24,6.501,"Ghana","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Gibraltar","GIB","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",3462,1160,33691,10275.741295895,33.5066435586366,3443.05600902318,0.257919596587441,762,2261.7,6546,2366,36.14,7022.647,"Gibraltar","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Greece","GRC","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",466523.333013528,0.027658671303773,48625727,2022-01-04,TRUE,0,45921153,1204397,44720345.85,1095514.5,44686237,1097344,1097344,0.0331088762525858,0.0262274991222455,0.0245566436932248,0.0245566436932248,12.0705533994236,11.7459509330656,"Reliable testing capacity",676112,2141,10370747,6519.41465740125,0.316663511370897,20.6446073749557,0.139824259920451,239038,2304.9,1204397,11583,0.96,111.689,"Greece","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Greenland","GRL","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",98854.3859649123,-Inf,56347,2021-08-25,TRUE,132,42476,0,42476.1,0,40725,0,0,NaN,0,0,0,2.04162460946888,3.02743086529884,"Insufficient data",2534,0,56868,4455.93303791236,0,0,100,697,1225.6,3107,0,0,0,"Greenland","High Income*","0 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Grenada","GRD","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",86770.796460177,0.0692190798666,98051,2022-01-04,TRUE,0,92586,6660,89712.89,6173.21,77314,6169,6169,0.0537499652826227,0.0719331216382606,0.0797914995990377,0.0797914995990377,2.24478118559825,1.87450600072736,"Reliable testing capacity",1256,1,113015,1111.35689952661,0.0796178343949045,0.884838295801442,95,819,724.7,6660,43,0.65,38.048,"Grenada","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Guam","GUM","Western Pacific",0,"No NGS facilities",1,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Guam","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Guatemala","GTM","Americas",1,"1 or more NGS facilities",0,"1-3 NGS facilities or equivalent",18466.1754855995,0.190367247007617,3308400,2022-01-04,TRUE,0,2721696,491155,2680348.69,489159.53,2658499,490478,490478,0.173588066134098,0.180459169576617,0.184494333080434,0.184494333080434,0.416203470074962,0.406539344949184,"Unreliable testing capacity",57708,97,18249868,316.210506289689,0.168087613502461,0.531510693666387,3.04118040369311,3957,21.7,491155,1233,0.25,6.756,"Guatemala","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Test","Test","Test"
"Guinea","GIN","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",4561.4711033275,0.055161603717837,597647,2022-01-03,TRUE,1,292775,19246,290970.58,18490.88,291892,18561,18561,0.0609965079743901,0.0657364870634446,0.0635885875597824,0.0635885875597824,0.0610769274096728,0.0608927213575756,"Reliable testing capacity",2593,0,13497237,19.2113393281899,0,0,100,1807,13.4,19246,137,0.71,1.015,"Guinea","Unreliable testing capacity","1-499 sequences","Test","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Guinea-Bissau","GNB","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",5671.03658536585,0.0583660376682257,111394,2022-01-03,TRUE,1,74806,4059,74306.6,4034.08,74746,4028,4028,0.0445600631023663,0.0542603534475844,0.0538891713268937,0.0538891713268937,0.104140216059695,0.104056687827152,"Reliable testing capacity",402,0,2015490,19.9455219326318,0,0,100,40,2,4059,39,0.96,1.935,"Guinea-Bissau","Unreliable testing capacity","1-499 sequences","Test","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Guyana","GUY","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",53318.2973316391,0.096848301419158,419615,2021-12-28,TRUE,7,383319,34260,383319.03,33445.58,380757,33503,32907,0.0893882491833903,0.0893772549756208,0.0879905031292924,0.0864252003246165,1.33442063671651,1.34018873171024,"Reliable testing capacity",7688,0,790329,972.759445749808,0,0,100,1488,188.3,34260,51,0.15,6.453,"Guyana","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Haiti","HTI","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,16086,0,15939.77,0,15993,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",3859,0,11541683,33.4353317449457,0,0,100,237,2.1,16086,66,0.41,0.572,"Haiti","Unreliable testing capacity","1-499 sequences","Test","Low income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Honduras","HND","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",11446.5623422514,0.334633994894962,1133782,2021-12-22,TRUE,13,838829,256004,837186.59,255584.26,831382,257037,256378,0.29562329478047,0.30519211901353,0.309168348605094,0.308375692521609,0.232020357782495,0.236438276300915,"Unreliable testing capacity",10372,0,10062994,103.070716329554,0,0,100,0,0,256004,116,0.05,1.153,"Honduras","Unreliable testing capacity","1-499 sequences","Test","Lower middle income","Insufficient sequencing capacity","Test","Test","Test"
"Hong Kong SAR, China","HKG","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",421943.964252368,-Inf,29296086,2021-12-14,TRUE,21,23747321,0,23620331.88,0,25738870,0,0,NaN,0,0,0,8.67829177333034,9.40608937638983,"Insufficient data",446,204,7552800,5.90509479927974,45.7399103139013,2.7009850651414,1.45776639343547,86,1.1,3673,993,27.04,13.147,"Hong Kong SAR, China","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Hungary","HUN","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",95356.3768115942,0.137297851602998,9211426,2022-01-04,TRUE,0,6490051,935858,6474703.94,927692.27,6499176,932927,932927,0.102199943793128,0.144198866850199,0.143545427912708,0.143545427912708,1.84067925919623,1.84326725091466,"Reliable testing capacity",438910,0,9634162,4555.76727898078,0,0,100,18020,187,935858,68,0.01,0.706,"Hungary","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Leverage","High Income*"
"Iceland","ISL","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",390250.146627566,0.0244523213549021,1330753,2022-01-04,TRUE,0,953300,26746,932192.69,22374.51,936217,22416,22416,0.0166986558928112,0.0280562257421588,0.0239431670221754,0.0239431670221754,7.65918129594665,7.52192985979994,"Reliable testing capacity",20505,0,368792,5560.04468643571,0,0,100,7226,1959.4,26745,4596,17.18,1246.231,"Iceland","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"India","IND","South-East Asia",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",49451.2041269446,0.0513143180936022,682428595,2022-01-04,TRUE,0,506792834,24661514,504824063.01,24543194.71,505310100,24598253,24598253,0.0430655390436673,0.0486619232662631,0.0486795197642002,0.0486795197642002,1.00613731395577,1.00319363775519,"Reliable testing capacity",1124046,9296,1393409033,80.6687751679015,0.827012417641271,0.667140787797663,0.0322208436158156,209472,15,24661514,82294,0.33,5.906,"India","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Indonesia","IDN","South-East Asia",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",23448.481303286,0.0664782747691107,64137224,2022-01-04,TRUE,0,60229951,3491629,59479137.93,3489724.2,58315883,3512613,3512613,0.108068088981812,0.0579716393925009,0.0602342418445417,0.0602342418445417,0.603287332678528,0.58411526032726,"Reliable testing capacity",40638,1596,276361788,14.7046378206237,3.92735862985383,0.577503862437017,0.187526472387134,1575,0.6,3491629,11239,0.32,4.067,"Indonesia","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Iran","IRN","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",49997.5640827212,0.147645591486914,41994454,2021-12-30,TRUE,5,34896898,4950789,34726797.47,4945918.98,34318206,4964403,4961075,0.15283547826657,0.14186902801504,0.144657998731053,0.144561023964947,1.13828461569449,1.12557608844421,"Reliable testing capacity",537838,3,85028760,632.536567627236,0.000557788776546098,0.00352821798177464,63.1596850135961,11439,13.5,4950789,242,0,0.285,"Iran","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Iraq","IRQ","Eastern Mediterranean",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",41930.8107301792,0.124195903788903,16699283,2021-12-21,TRUE,14,12477867,1496298,12398906.17,1495443.1,12263373,1497802,1497802,0.111542295320009,0.119916168364353,0.122136218151401,0.122136218151401,0.849910175429515,0.835300255868056,"Reliable testing capacity",78044,47,41179351,189.522170954078,0.0602224386243657,0.114134873082385,6.17501347108245,1792,4.4,1496298,177,0.01,0.43,"Iraq","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Ireland","IRL","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",201699.14945322,0.087069011910155,9959904,2021-12-30,TRUE,5,7487772,762108,7508659.1,699935.1,7567173,716652,679628,0.632612813777879,0.10178034267069,0.0947053807280473,0.0898126684826685,4.15440336889762,4.22158902623942,"Reliable testing capacity",470574,9177,4982904,9443.77013885879,1.95017149268765,184.169713082973,0.0326385895671244,135732,2724,759202,44553,5.87,894.117,"Ireland","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Isle of Man","IMN","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",9132,0,85410,10691.9564453811,0,0,100,3488,4083.8,16595,0,0,0,"Isle of Man","High Income*","0 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Israel","ISR","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",430199.364602588,0.0379127729462362,37238057,2022-01-04,TRUE,0,29849467,964827,28793630.06,943579.75,28398219,964021,964021,0.341368516532138,0.0323230897221716,0.0339465302383928,0.0339465302383928,9.44770813815106,8.98837104043755,"Reliable testing capacity",113209,13823,9291000,1218.48024970401,12.2101599696137,148.778387687009,0.0216697365129526,40798,439.1,963625,35861,3.72,385.976,"Israel","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Italy","ITA","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",236423.975389501,0.0459398408905856,142946664,2022-01-04,TRUE,0,115942392,4400703,113565384.26,4046202.7,113743029,4095574,4095574,0.0347875408038764,0.0379559445349377,0.0360072528049169,0.0360072528049169,5.25371951045443,5.1540593593712,"Reliable testing capacity",1877606,18426,60367471,3110.29428415181,0.981356045943611,30.5230610041623,0.0162568585747147,810535,1342.7,4400703,77922,1.77,129.079,"Italy","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Ivory Coast","CIV","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",4710.45568276594,0.059383963609556,1236834,2022-01-03,TRUE,1,980185,50986,956557.38,48065.45,965272,48330,48330,0.0510245206277002,0.052016711131062,0.0500687889009523,0.0500687889009523,0.101805988178193,0.100257063534681,"Reliable testing capacity",13213,8,27053629,48.8400280790426,0.0605464315446908,0.0295708941672853,31.2343978066368,8720,32.2,50986,153,0.3,0.566,"Ivory Coast","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
