"","geometry","country","code","region","ngs_capacity","who_testing_capacity","sequencing_capacity","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","tests_in_last_90_days","tests_in_last_7_days","tests_in_last_year","avg_test_per_1000_last_year","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","percent_of_recent_cases_sequenced","per_capita_seq_rate","max_prevalence_variant_pct","max_new_seq_cap_avg","total_sequences","cases_in_last_7_days","cases_in_last_year","sequences_in_last_year","tpr_90_days","tpr_7_days","cases_in_the_last_7_days_per_100k","test_in_the_last_7_days_per_100k","tpr_year","reporting_lag_diff","world_bank_economies","sars_cov_2_sequencing","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean","old_archetype","old_max_new_tests_cap_avg","old_dx_testing_capacity"
"52",NA,"Democratic Republic of the Congo","COD","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",2.5,5.25118075948236,0.127261051964593,129908,6781,380533,0.0116407383167178,"Reliable testing capacity",3636,0,92377986,0,0,100,NA,871,993,45390,344,0.0279890383964036,0.14643857838077,1.07493142359696,7.3404934374733,0.119280062438737,0,"Low income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",2.5,"Reliable testing capacity"
"53",NA,"Denmark","DNK","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",9787.53,14571.6950966851,0.00664214370225861,2556355,0,76140338,36.015826269583,"Reliable testing capacity",206081,76486,5813302,37.114532635226,1315.70663282245,0.00391662998103781,NA,244751,38757,450287,220833,0.0806151727752992,Inf,666.695107186931,0,0.00591390860387302,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",9787.53,"Reliable testing capacity"
"54",NA,"Djibouti","DJI","Eastern Mediterranean",0,"1 - Reliable","0 NGS facilities or equivalent",85.26,253.421052631579,0.0539739595814362,38959,2478,155315,0.430688813709722,"Reliable testing capacity",1617,51,1002197,3.15398886827458,5.08881986276151,5.70479523604428,NA,367,6,7786,321,0.0415051721040068,0.00242130750605327,0.598684689736649,247.256776861236,0.0501303801950874,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",85.26,"Reliable testing capacity"
"55",NA,"Dominica","DMA","Americas",0,"1 - Reliable","0 NGS facilities or equivalent",1639.12,1536.59722222222,0.0563384100872238,50078,0,104173,3.96396499238965,"Reliable testing capacity",3599,0,72172,0,0,100,NA,9,147,6145,9,0.0718678860976876,Inf,203.680097544754,0,0.0589884135044589,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",1639.12,"Reliable testing capacity"
"56",NA,"Dominican Republic","DOM","Americas",1,"0 - Unreliable","1-3 NGS facilities or equivalent",59.85,188.012629056047,0.201153581579565,48050,0,1262585,0.318873247262294,"Reliable testing capacity",56378,121,10953714,0.214622725176487,1.1046481586063,2.44541494901995,NA,568,1517,255573,559,1.17331945889698,Inf,13.8491839388905,0,0.202420431099688,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","3 - Leverage",59.85,"Reliable testing capacity"
"57",NA,"East Timor","TLS","South-East Asia",0,"1 - Reliable","0 NGS facilities or equivalent",0,0,NA,0,0,0,0,"Reliable testing capacity",0,0,-Inf,NA,0,100,NA,356,0,0,336,NA,NA,0,0,NA,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",NA,"Reliable testing capacity"
"58",NA,"Ecuador","ECU","Americas",1,"1 - Reliable","1-3 NGS facilities or equivalent",29.29,117.355665136315,0.257516761603202,266470,27777,1374240,0.213401411091674,"Reliable testing capacity",27912,552,17888474,1.97764402407567,3.08578585294643,0.541235138201346,NA,3511,3841,331080,3309,0.104747251097685,0.138279871836411,21.4719265600856,155.278756589299,0.240918616835487,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",29.29,"Reliable testing capacity"
"59",NA,"Egypt","EGY","Eastern Mediterranean",1,"1 - Reliable","1-3 NGS facilities or equivalent",13.94,38.9632087087381,0.0925943899834999,312267,0,2727280,0.0730158109719155,"Reliable testing capacity",75247,74,104258327,0.0983427910747272,0.0709775440766472,3.96743838703134,NA,1124,5165,247623,594,0.240970067282166,Inf,4.95404074534977,0,0.090794857880379,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",13.94,"Reliable testing capacity"
"60",NA,"El Salvador","SLV","Americas",1,"0 - Unreliable","1-3 NGS facilities or equivalent",337.26,279.212765957447,0.0668850022142781,0,0,1235178,0.521746733744757,"Reliable testing capacity",21426,0,6518500,0,0,100,NA,244,1324,79496,238,NA,Inf,20.3114213392652,0,0.0643599545976369,0,"Lower middle income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",337.26,"Reliable testing capacity"
"61",NA,"Equatorial Guinea","GNQ","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",61.54,187.590876692801,0.0517192902465899,58161,2584,190797,0.372581259336647,"Reliable testing capacity",3114,0,1449891,0,0,100,NA,207,13,8427,72,0.0535410326507453,0.00503095975232198,0.896619125161823,178.220293801396,0.0441673611220302,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",61.54,"Reliable testing capacity"
"62",NA,"Eritrea","ERI","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",7.13,6.68161308516638,0.322711349343688,0,0,1091,0.000842933191170449,"Unreliable testing capacity",985,0,3601462,0,0,100,NA,0,162,6935,0,NA,Inf,4.49817324186678,0,6.35655362053162,0,"Low income","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",7.13,"Unreliable testing capacity"
"63",NA,"Estonia","EST","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",606.94,1212.90580256217,0.141829954905979,0,0,1080413,2.23062216762499,"Reliable testing capacity",80922,1310,1325188,1.61884283631151,98.8538984657271,0.228420575196608,NA,7538,2985,210224,7241,NA,Inf,225.251058717706,0,0.194577443995953,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",606.94,"Reliable testing capacity"
"64",NA,"Eswatini","SWZ","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",148.87,361.187068965517,0.125646515202505,72570,8194,344898,0.814591402928673,"Reliable testing capacity",7559,0,1172369,0,0,100,NA,123,4792,45875,111,0.104161499242111,0.584818159628997,408.745028229167,698.926703111392,0.133010339288717,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",148.87,"Reliable testing capacity"
"65",NA,"Ethiopia","ETH","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",16.85,34.2088566855711,0.0948729234509776,603036,33948,2232389,0.0532004301048619,"Reliable testing capacity",47736,0,117876226,0,0,100,NA,524,781,256346,520,0.0791594531669751,0.0230057735359962,0.662559386656984,28.7997004586828,0.114830345428149,0,"Low income","500+ sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage","2 - Connect",16.85,"Reliable testing capacity"
"66",NA,"Falkland Islands","FLK","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,3528,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"67",NA,"Faroe Islands","FRO","Europe",0,"1 - Reliable","0 NGS facilities or equivalent",3988.98,8100.42857142857,NA,0,0,223073,12.4726306961141,"Reliable testing capacity",0,0,49053,NA,0,100,NA,42,0,0,5,NA,NA,0,0,0,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",3988.98,"Reliable testing capacity"
"68",NA,"Fiji","FJI","Western Pacific",0,"1 - Reliable","0 NGS facilities or equivalent",349,257.822544642857,0.22759719318295,0,0,212731,0.6504739481409,"Reliable testing capacity",3333,0,902899,0,0,100,NA,531,15,52531,520,NA,Inf,1.66131538522027,0,0.246936271629429,0,"Upper middle income","500+ sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage","3 - Leverage",349,"Reliable testing capacity"
"69",NA,"Finland","FIN","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",419.13,1242.89839379173,0.0291932509547111,66628,0,4762301,2.35470131745172,"Reliable testing capacity",66746,2040,5548361,3.05636292811554,36.7676147965138,0.1467418499567,NA,21848,6413,170241,20217,1.00177102719577,Inf,115.583683181394,0,0.0357476354392551,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",419.13,"Reliable testing capacity"
"70",NA,"France","FRA","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",1057.42,2678.62787633667,0.0478301047816384,40310249,4950555,145439306,6.10448037587392,"Reliable testing capacity",1355407,36008,67564251,2.65661900816508,53.2944559690301,0.00831928365944146,NA,157675,330230,6279082,144368,0.0336243767683003,0.0667056521945519,488.76439109789,7327.18105614758,0.0431732120613942,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",1057.42,"Reliable testing capacity"
"71",NA,"French Polynesia","PYF","Western Pacific",0,"0 - Unreliable","0 NGS facilities or equivalent",33.29,32.491103202847,NA,0,0,0,0,"Unreliable testing capacity",0,18,282534,NA,6.37091465098006,15.3317553957278,NA,89,0,0,87,NA,NA,0,0,NA,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",33.29,"Unreliable testing capacity"
"72",NA,"French Southern and Antarctic Lands","ATF","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"73",NA,"Gabon","GAB","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",197.47,640.302785265049,0.0263738376245515,298201,17118,1102928,1.3574665534345,"Reliable testing capacity",10688,14,2278829,0.130988023952096,0.61435061604008,19.2636175650135,NA,316,80,28261,294,0.0358415967753294,0.00467344315924758,3.51057494880046,751.175274669578,0.0256236127834274,0,"Upper middle income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",196.15,"Reliable testing capacity"
"74",NA,"Georgia","GEO","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",298.64,719.16746051642,0.309989790010245,0,0,1599634,1.09866104389812,"Reliable testing capacity",304250,350,3979773,0.115036976170912,8.79447144347178,0.852270910056196,NA,610,22215,699560,565,NA,Inf,558.197666047787,0,0.437325038102466,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","3 - Leverage",298.64,"Reliable testing capacity"
"75",NA,"Germany","DEU","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",311.74,1048.55817339826,0.0745114549975062,15617599,1182832,57249876,1.87206358424599,"Reliable testing capacity",2443758,87695,83900471,3.58853045186962,104.52265518271,0.00341602269892105,NA,292462,326751,5195200,283658,0.156474628398386,0.276244639982686,389.450733834379,1409.8037661791,0.0907460480787766,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",255.85,"Reliable testing capacity"
"76",NA,"Ghana","GHA","Africa",1,"1 - Reliable","1-3 NGS facilities or equivalent",18.98,65.2123386863193,0.0649184269395655,343970,22035,1398976,0.123348597139128,"Reliable testing capacity",7673,141,31732128,1.83761240714193,0.444344608719592,2.10222149512368,NA,1857,301,78614,1609,0.0223071779515655,0.0136600862264579,0.948565441309199,69.4406627882,0.0561939590100188,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",18.98,"Reliable testing capacity"
"77",NA,"Gibraltar","GIB","Europe",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,339,33691,NA,1006.20343711971,0.879803711613447,NA,1990,0,0,1704,NA,NA,0,NA,NA,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",NA,"Unreliable testing capacity"
"78",NA,"Greece","GRC","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",3543.62,3906.71342223928,0.0246288071952639,23350889,2477982,37381847,9.82596365519353,"Reliable testing capacity",382522,1177,10370747,0.307694720826515,11.3492306774044,0.25419907362153,NA,11390,31729,878343,10541,0.0163814748123722,0.012804370653217,305.947102942536,23893.9586511946,0.0234965115554617,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",1829.69,"Reliable testing capacity"
"79",NA,"Greenland","GRL","Americas",0,"1 - Reliable","0 NGS facilities or equivalent",1323.33,919.578947368421,NA,0,0,38999,1.87450132179764,"Reliable testing capacity",0,0,56868,NA,0,100,NA,0,0,0,0,NA,NA,0,0,0,0,"High income","0 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",1516.49,"Reliable testing capacity"
"80",NA,"Grenada","GRD","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",88.97,212.29203539823,0.246571345199883,0,0,7284,0.176603224633289,"Reliable testing capacity",3269,0,113015,0,0,100,NA,12,6,5846,12,NA,Inf,5.30902977480865,0,0.802580999450851,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",88.97,"Reliable testing capacity"
"81",NA,"Guam","GUM","Western Pacific",0,"1 - Reliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Reliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High income","0 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect","0 - High Income*",NA,"Reliable testing capacity"
"82",NA,"Guatemala","GTM","Americas",1,"0 - Unreliable","1-3 NGS facilities or equivalent",69.74,145.97549676267,0.237919058523755,290725,0,2046906,0.31301415739203,"Reliable testing capacity",106473,102,18249868,0.0957989349412527,0.558908152102799,2.89428195829263,NA,1087,2338,492947,877,0.366232694126752,Inf,12.8110515648661,0,0.240825421392091,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",69.74,"Reliable testing capacity"
"83",NA,"Guernsey","GGY","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,63385,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"84",NA,"Guinea","GIN","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",32.21,38.8134470418031,0.0604193927456708,0,0,241929,0.0504697462942353,"Unreliable testing capacity",713,0,13497237,0,0,100,NA,309,28,17378,169,NA,Inf,0.207449865479876,0,0.0718309917372452,0,"Low income","1-499 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test","1 - Test",32.21,"Unreliable testing capacity"
"85",NA,"Guinea-Bissau","GNB","Africa",0,"0 - Unreliable","0 NGS facilities or equivalent",18.02,55.2540650406504,0.0592974066580835,13830,912,75494,0.105098006459517,"Unreliable testing capacity",417,0,2015490,0,0,100,NA,112,4,4004,104,0.0301518438177874,0.0043859649122807,0.198462904802306,45.2495422949258,0.0530373274697327,0,"Low income","1-499 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test","1 - Test",18.02,"Unreliable testing capacity"
"86",NA,"Guyana","GUY","Americas",0,"1 - Reliable","0 NGS facilities or equivalent",145.73,239.97331639136,0.204141714188892,0,0,155907,0.542747732850603,"Reliable testing capacity",10320,0,790329,0,0,100,NA,60,337,32634,54,NA,Inf,42.6404699814887,0,0.209317092882295,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",145.73,"Reliable testing capacity"
"87",NA,"Haiti","HTI","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",0,0,NA,0,0,0,0,"Unreliable testing capacity",4473,0,11541683,0,0,100,NA,95,106,16253,74,NA,Inf,0.918410252646863,0,NA,0,"Low income","1-499 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"88",NA,"Heard Island and McDonald Islands","HMD","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
"89",NA,"Honduras","HND","Americas",0,"0 - Unreliable","0 NGS facilities or equivalent",33.38,104.720646138314,0.364830157974197,28354,0,755405,0.208945253884506,"Unreliable testing capacity",24782,0,10062994,0,0,100,NA,116,172,264064,116,0.87402130210905,Inf,1.70923285853097,0,0.349566126779674,0,"Lower middle income","1-499 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test","1 - Test",33.38,"Unreliable testing capacity"
"90",NA,"Hong Kong SAR, China","HKG","Western Pacific",2,"1 - Reliable","4+ NGS facilities or equivalent",1183.81,3806.79578498066,NA,3885450,0,23844301,8.71373243361271,"Reliable testing capacity",340,165,7552800,48.5294117647059,2.18462027327614,1.79921268280051,NA,5185,22,4947,1845,8.75059516915673e-05,Inf,0.291282703103485,0,0.000207470959203208,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",1183.81,"Reliable testing capacity"
"91",NA,"Hungary","HUN","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",376.38,916.555072463768,0.133604294232545,2075771,210487,6547058,1.85684732975978,"Reliable testing capacity",367071,0,9634162,0,0,100,NA,435,25354,902522,68,0.176835980462199,0.120453994783526,263.167673535072,2184.7982211634,0.137851535758504,0,"High income","1-499 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage","0 - High Income*",362.19,"Reliable testing capacity"
"92",NA,"Iceland","ISL","Europe",1,"1 - Reliable","1-3 NGS facilities or equivalent",1021.41,1620.4633431085,0.0346720282023533,0,0,329174,2.64471136464066,"Reliable testing capacity",7852,0,343360,0,0,100,NA,9832,517,13602,4850,NA,Inf,150.57082945014,0,0.0413216110628421,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",1021.41,"Reliable testing capacity"
"93",NA,"India","IND","South-East Asia",2,"1 - Reliable","4+ NGS facilities or equivalent",161.31,475.848222903702,0.0528389152722352,113227182,8426208,502457584,0.997530529294078,"Reliable testing capacity",1381105,7613,1393409033,0.551225286998454,0.54635787623748,0.0393424791440111,NA,94005,49477,24813760,84335,0.0121976452615415,0.005871799034631,3.55078794727463,604.718916014089,0.0493847854827085,0,"Lower middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",161.31,"Reliable testing capacity"
"94",NA,"Indonesia","IDN","South-East Asia",2,"1 - Reliable","4+ NGS facilities or equivalent",102.69,213.62386481625,0.0728915213765565,23015199,2228985,53324273,0.534117293656633,"Reliable testing capacity",84927,830,276361788,0.977309924994407,0.300330956029276,0.360281024072584,NA,10085,1328,3641323,9412,0.00369003978631686,0.000595786871602994,0.480529529646841,806.546019307126,0.0682864068301503,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",98.2,"Reliable testing capacity"
"95",NA,"Iran","IRN","Eastern Mediterranean",2,"1 - Reliable","4+ NGS facilities or equivalent",158.11,473.131022823331,0.154878218236909,9511458,541088,33171019,1.08198902419951,"Reliable testing capacity",814157,1,85028760,0.000122826432739631,0.00117607266059155,95,NA,1175,16992,5046544,761,0.0855974972501587,0.0314033946419067,19.9838266487715,636.358803774158,0.152137141159275,0,"Upper middle income","500+ sequences","4 - Strengthen","Strengthen","? Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen","4 - Strengthen",158.11,"Reliable testing capacity"
"96",NA,"Iraq","IRQ","Eastern Mediterranean",1,"1 - Reliable","1-3 NGS facilities or equivalent",808.92,652.291276135544,0.0795757170225138,0,0,22434609,1.52809790895211,"Reliable testing capacity",128468,2,41179351,0.0015568079210387,0.00485680310988874,77.6393202250021,NA,298,2876,1513203,167,NA,Inf,6.98408287202001,0,0.0674494928795059,0,"Upper middle income","1-499 sequences","3 - Leverage","Leverage","? Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage","3 - Leverage",808.92,"Reliable testing capacity"
"97",NA,"Ireland","IRL","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",756.97,1902.13588497367,0.0663941017468053,2309583,229079,7223390,4.00771761624972,"Reliable testing capacity",254911,8778,4982904,3.44355480932561,176.162334253279,0.0341219086804179,NA,44154,26462,547438,42108,0.110371006367816,0.115514735091388,531.055785943297,4597.29908503154,0.0757868535410659,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",461.57,"Reliable testing capacity"
"98",NA,"Isle of Man","IMN","Europe",0,"0 - Unreliable","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,85410,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"High income","0 sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test","0 - High Income*",NA,"Unreliable testing capacity"
"99",NA,"Israel","ISR","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",915.81,1965.49803604436,0.0793620845182116,0,0,10230032,3.23792570835338,"Reliable testing capacity",155432,7633,9291000,4.91082917288589,82.1547734366591,0.0392394141387586,NA,30612,3545,993039,30049,NA,Inf,38.1552039608223,0,0.0970709573537991,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",915.81,"Reliable testing capacity"
"100",NA,"Italy","ITA","Europe",2,"1 - Reliable","4+ NGS facilities or equivalent",888.24,2084.47935893619,0.0414618959116434,37764461,3767876,100900786,4.57213637638585,"Reliable testing capacity",612303,14026,60367471,2.29069594628803,23.2343673963085,0.0213561412787611,NA,80794,106941,3381805,76733,0.0162137359778549,0.0283823034515998,177.150041617612,6241.56675372404,0.0335161412915059,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",525.75,"Reliable testing capacity"
"101",NA,"Ivory Coast","CIV","Africa",0,"1 - Reliable","0 NGS facilities or equivalent",15.16,44.6097505497005,0.0526082759136444,227507,13231,943426,0.0979880494018988,"Reliable testing capacity",3679,0,27053629,0,0,100,NA,236,79,40225,153,0.0161709310043207,0.00597082609024261,0.292012579901942,48.9065625909189,0.042637154371408,0,"Lower middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",15.16,"Reliable testing capacity"
"102",NA,"Jamaica","JAM","Americas",0,"1 - Reliable","0 NGS facilities or equivalent",82.9,199.917933130699,0.155019705823227,20304,0,468729,0.433701128367406,"Reliable testing capacity",14778,0,2973462,0,0,100,NA,312,229,80055,304,0.727836879432624,Inf,7.70146045249611,0,0.170791651465986,0,"Upper middle income","1-499 sequences","2 - Connect","Connect","? Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect","2 - Connect",82.9,"Reliable testing capacity"
"103",NA,"Japan","JPN","Western Pacific",2,"1 - Reliable","4+ NGS facilities or equivalent",94.63,219.675298080268,0.0621956731175703,4933259,298634,23456009,0.508104607642275,"Reliable testing capacity",72824,6150,126050796,8.44501812589256,4.87898545281697,0.0486992319516988,NA,180384,740,1547518,160537,0.0147618440467042,0.00247794959716576,0.587064916273912,236.915600279113,0.0659753328027799,0,"High income","500+ sequences","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen","0 - High Income*",94.63,"Reliable testing capacity"
"104",NA,"Jersey","JEY","",NA,"NaN","0 NGS facilities or equivalent",NA,NA,NA,NA,NA,NA,NA,"Unreliable testing capacity",0,0,101073,NA,0,100,NA,0,0,0,0,NA,NA,0,NA,NA,0,"NaN","0 sequences","1 - Test","Test","? Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test","1 - Test",NA,"Unreliable testing capacity"
