"name","World Bank economic status","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cumulative number of sequences entire pandemic","NGS facility access","COVID-19 diagnostic testing targets","SARS-CoV-2 sequencing targets","Test Archetype","Sequence Archetype"
"Kyrgyzstan","Lower middle income","June 23, 2021","1.5 %","3.44 per 1,000 persons","0.09 %","1.5 per 100k persons",114,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Laos","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.01 %","0.2 per 100k persons",18,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Latvia","High income","April 01, 2022","13.4 %","7.52 per 1,000 persons","1.29 %","479.9 per 100k persons",12889,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Lebanon","Upper middle income","June 23, 2021","6.7 %","2.05 per 1,000 persons","0.09 %","8.2 per 100k persons",1431,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Lesotho","Lower middle income","April 01, 2022","6.1 %","0.46 per 1,000 persons","0.02 %","0.2 per 100k persons",23,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liberia","Low income","September 26, 2021","6.9 %","0.06 per 1,000 persons","1.33 %","1.4 per 100k persons",77,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Libya","Upper middle income","March 31, 2022","20.1 %","0.68 per 1,000 persons","0 %","0.1 per 100k persons",46,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Liechtenstein","High income","No tests reported","Insufficient data","Insufficient data","7.34 %","2614.1 per 100k persons",1036,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Lithuania","High income","April 01, 2022","13.2 %","6.13 per 1,000 persons","3.68 %","1105.6 per 100k persons",35891,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Luxembourg","High income","April 01, 2022","8.6 %","7.74 per 1,000 persons","11.95 %","2899.1 per 100k persons",25456,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Macao SAR, China","High income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Madagascar","Low income","March 12, 2022","15.1 %","0.03 per 1,000 persons","0.51 %","0.7 per 100k persons",792,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malawi","Low income","April 01, 2022","15.2 %","0.05 per 1,000 persons","1.25 %","3.3 per 100k persons",1164,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Malaysia","Upper middle income","June 16, 2021","5.6 %","2.32 per 1,000 persons","0.28 %","32.4 per 100k persons",11856,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Maldives","Upper middle income","November 09, 2021","6.3 %","8.45 per 1,000 persons","0.79 %","221.8 per 100k persons",1244,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Mali","Low income","April 01, 2022","4.8 %","0.06 per 1,000 persons","0.16 %","0.2 per 100k persons",73,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Malta","High income","September 06, 2021","1.9 %","5.71 per 1,000 persons","1.66 %","162.8 per 100k persons",893,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Marshall Islands","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritania","Lower middle income","March 31, 2022","6.1 %","0.4 per 1,000 persons","0.06 %","0.5 per 100k persons",31,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Mauritius","High income","September 01, 2021","Insufficient data","0.02 per 1,000 persons","0.53 %","87.8 per 100k persons",1258,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mexico","Upper middle income","April 01, 2022","36 %","0.2 per 1,000 persons","1.43 %","37.5 per 100k persons",57757,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Micronesia","Lower middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Moldova","Lower middle income","June 13, 2021","8.4 %","1.09 per 1,000 persons","0.18 %","12.6 per 100k persons",541,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Monaco","High income","No tests reported","Insufficient data","Insufficient data","1.06 %","227.7 per 100k persons",97,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Mongolia","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.09 %","25.3 per 100k persons",942,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Montenegro","Upper middle income","June 21, 2021","10 %","1.82 per 1,000 persons","0.43 %","96.2 per 100k persons",635,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Morocco","Lower middle income","March 31, 2022","11.5 %","0.43 per 1,000 persons","0.06 %","1.1 per 100k persons",651,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Mozambique","Low income","April 01, 2022","19.3 %","0.07 per 1,000 persons","0.41 %","2 per 100k persons",1146,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Myanmar","Lower middle income","April 01, 2022","9.2 %","0.26 per 1,000 persons","0.02 %","0.1 per 100k persons",94,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Namibia","Upper middle income","April 01, 2022","17.8 %","0.69 per 1,000 persons","0.25 %","10.9 per 100k persons",298,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nauru","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Nepal","Lower middle income","April 01, 2022","21.4 %","0.31 per 1,000 persons","0.25 %","5.9 per 100k persons",1767,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Netherlands","High income","January 25, 2022","16.7 %","3.32 per 1,000 persons","1.28 %","497.3 per 100k persons",110585,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"New Caledonia","High income","September 07, 2021","No cases reported","0.31 per 1,000 persons","0.01 %","3.1 per 100k persons",9,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"New Zealand","High income","April 01, 2022","12.8 %","2.86 per 1,000 persons","1.2 %","157.5 per 100k persons",9096,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nicaragua","Lower middle income","No tests reported","Insufficient data","Insufficient data","3.1 %","5.4 per 100k persons",564,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Niger","Low income","March 31, 2022","2.5 %","0.02 per 1,000 persons","2.49 %","0.4 per 100k persons",233,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nigeria","Lower middle income","March 31, 2022","3 %","0.04 per 1,000 persons","4.84 %","2.1 per 100k persons",5722,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"North Korea","Low income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"North Macedonia","Upper middle income","February 24, 2022","13.6 %","1.79 per 1,000 persons","0.21 %","17.9 per 100k persons",833,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Northern Mariana Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",1150,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norway","High income","January 22, 2022","9.8 %","3.24 per 1,000 persons","3.42 %","820.1 per 100k persons",55854,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Oman","High income","May 28, 2021","Insufficient data","0.13 per 1,000 persons","0.24 %","10.3 per 100k persons",871,"Has access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Pakistan","Lower middle income","April 01, 2022","5 %","0.21 per 1,000 persons","0.22 %","0.8 per 100k persons",2093,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Palau","High income","No tests reported","Insufficient data","Insufficient data","0.42 %","Insufficient data",17,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Palestine","Lower middle income","February 03, 2022","20 %","0.98 per 1,000 persons","0 %","0.4 per 100k persons",128,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Panama","High income","April 01, 2022","11.5 %","2.26 per 1,000 persons","0.18 %","16.6 per 100k persons",1843,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Papua New Guinea","Lower middle income","November 28, 2021","16 %","0.08 per 1,000 persons","7.9 %","32.1 per 100k persons",4303,"Does not have access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Paraguay","Upper middle income","March 27, 2022","25.6 %","0.66 per 1,000 persons","0.21 %","12.6 per 100k persons",1272,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Peru","Upper middle income","March 24, 2022","10.3 %","1.62 per 1,000 persons","0.83 %","49.1 per 100k persons",18888,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Philippines","Lower middle income","March 31, 2022","15.7 %","0.47 per 1,000 persons","0.32 %","8.5 per 100k persons",14676,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Poland","High income","April 01, 2022","15.6 %","1.71 per 1,000 persons","2 %","190.7 per 100k persons",79439,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Portugal","High income","April 01, 2022","8.8 %","8.31 per 1,000 persons","0.9 %","245.2 per 100k persons",30831,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Puerto Rico","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","276 per 100k persons",8702,"Has access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Qatar","High income","April 01, 2022","10.8 %","1.6 per 1,000 persons","1.52 %","93.9 per 100k persons",4855,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Republic of the Congo","Lower middle income","March 12, 2022","5.3 %","0.14 per 1,000 persons","2.9 %","7.4 per 100k persons",547,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Romania","High income","March 10, 2022","13 %","2.14 per 1,000 persons","0.54 %","53.7 per 100k persons",12746,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Russia","Upper middle income","April 01, 2022","7.9 %","3.09 per 1,000 persons","0.08 %","7.1 per 100k persons",16049,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Rwanda","Low income","March 31, 2022","2.7 %","0.84 per 1,000 persons","0.41 %","3.4 per 100k persons",786,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint Kitts and Nevis","High income","April 01, 2022","9.8 %","2.9 per 1,000 persons","1.29 %","132.6 per 100k persons",74,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Lucia","Upper middle income","March 31, 2022","17.9 %","1.56 per 1,000 persons","0.6 %","61.3 per 100k persons",142,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Vincent and the Grenadines","Upper middle income","July 06, 2021","3.3 %","1.37 per 1,000 persons","2.57 %","187.8 per 100k persons",217,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"San Marino","High income","March 22, 2022","11.6 %","7.35 per 1,000 persons","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"São Tomé and Príncipe","Lower middle income","March 28, 2022","14.9 %","0.31 per 1,000 persons","0.24 %","4 per 100k persons",10,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saudi Arabia","High income","April 01, 2022","1.4 %","2.08 per 1,000 persons","0.03 %","0.3 per 100k persons",1192,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Senegal","Lower middle income","April 01, 2022","7.8 %","0.1 per 1,000 persons","4.78 %","13.1 per 100k persons",3615,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Serbia","Upper middle income","April 01, 2022","24 %","1.81 per 1,000 persons","0.02 %","4.4 per 100k persons",723,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Seychelles","High income","December 21, 2020","Insufficient data","Insufficient data","3.03 %","1110.1 per 100k persons",1110,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sierra Leone","Low income","March 16, 2022","1.4 %","0.09 per 1,000 persons","0.65 %","0.3 per 100k persons",61,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Singapore","High income","September 20, 2021","0.2 %","10.35 per 1,000 persons","1.24 %","234.9 per 100k persons",14865,"Has access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sint Maarten (Dutch part)","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",2302,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Slovakia","High income","April 01, 2022","6.7 %","12.96 per 1,000 persons","1.57 %","497.7 per 100k persons",29317,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Slovenia","High income","April 01, 2022","4.8 %","20.4 per 1,000 persons","6.7 %","2421.3 per 100k persons",63787,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Solomon Islands","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.45 %","7.4 per 100k persons",62,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Somalia","Low income","January 10, 2022","4.2 %","0.07 per 1,000 persons","0 %","0 per 100k persons",35,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"South Africa","Upper middle income","April 01, 2022","15.5 %","0.65 per 1,000 persons","1.22 %","43.6 per 100k persons",35934,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"South Korea","High income","October 31, 2021","3.2 %","0.74 per 1,000 persons","0.27 %","70.6 per 100k persons",41214,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"South Sudan","Low income","April 01, 2022","3.1 %","0.06 per 1,000 persons","1.71 %","1.1 per 100k persons",170,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Spain","High income","November 15, 2021","6.7 %","2.47 per 1,000 persons","1.07 %","188 per 100k persons",115572,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Sri Lanka","Lower middle income","April 01, 2022","11.1 %","0.66 per 1,000 persons","0.53 %","14.1 per 100k persons",3360,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Martin","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Sudan","Low income","October 27, 2021","2.7 %","0.04 per 1,000 persons","0.05 %","0 per 100k persons",112,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Suriname","Upper middle income","No tests reported","Insufficient data","Insufficient data","1.18 %","139.6 per 100k persons",1058,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sweden","High income","May 10, 2021","11.1 %","4.77 per 1,000 persons","7.19 %","1185.7 per 100k persons",175061,"Has access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Switzerland","High income","April 01, 2022","19.5 %","4.67 per 1,000 persons","3.57 %","1185.4 per 100k persons",135016,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Syria","Low income","No tests reported","Insufficient data","Insufficient data","0.24 %","0.5 per 100k persons",89,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Taiwan","High income","April 01, 2022","0.2 %","1.4 per 1,000 persons","0.54 %","0.5 per 100k persons",312,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Tajikistan","Low income","March 30, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tanzania","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.01 %","0 per 100k persons",2,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Thailand","Upper middle income","March 31, 2022","18.3 %","0.77 per 1,000 persons","0.45 %","23.5 per 100k persons",17487,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"The Bahamas","High income","April 01, 2022","15.8 %","1.07 per 1,000 persons","0.93 %","56.4 per 100k persons",263,"Does not have access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"The Gambia","Low income","March 24, 2022","6.5 %","0.12 per 1,000 persons","10.4 %","27.3 per 100k persons",1229,"Has access to sequencing facilities","Does not meet testing target","Meets sequencing target","Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Togo","Low income","April 01, 2022","6 %","0.15 per 1,000 persons","0.63 %","2 per 100k persons",358,"Does not have access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tonga","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Does not meet sequencing target","Insufficient testing data","Connect/Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Trinidad and Tobago","High income","July 02, 2021","23.7 %","1.07 per 1,000 persons","1.75 %","161.9 per 100k persons",2376,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Tunisia","Lower middle income","March 31, 2022","22.9 %","0.79 per 1,000 persons","0.1 %","6.7 per 100k persons",1143,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Turkey","Upper middle income","April 01, 2022","10.7 %","3.53 per 1,000 persons","0.72 %","97.7 per 100k persons",88842,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Turkmenistan","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Turks and Caicos Islands","High income","No tests reported","Insufficient data","Insufficient data","1.2 %","109.6 per 100k persons",55,"Does not have access to sequencing facilities","Insufficient testing data","Meets sequencing target","Insufficient testing data","Sustain - Sustain current sequencing levels"
"Tuvalu","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Does not have access to sequencing facilities","Insufficient testing data","Insufficient data","Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Uganda","Low income","March 31, 2022","7.6 %","0.1 per 1,000 persons","0.46 %","1.2 per 100k persons",975,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ukraine","Lower middle income","February 18, 2022","28.2 %","0.79 per 1,000 persons","0.01 %","1.1 per 100k persons",719,"Has access to sequencing facilities","Does not meet testing target","Does not meet sequencing target","Test - Increase diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Arab Emirates","High income","April 01, 2022","0.4 %","30.56 per 1,000 persons","0.01 %","0.2 per 100k persons",2621,"Has access to sequencing facilities","Meets testing target","Does not meet sequencing target","Sustain - Sustain diagnostic testing capacity","Strengthen/Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Kingdom","High income","April 01, 2022","4.5 %","15.07 per 1,000 persons","13.23 %","3108.3 per 100k persons",2502922,"Has access to sequencing facilities","Meets testing target","Meets sequencing target","Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
