"name","code","population_size","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","cases_in_last_year_smoothed_truncated","tests_in_last_year_smoothed","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_capacity","ngs_capacity","sequencing_capacity","sars_cov_2_sequencing","world_bank_economies","archetype"
"Liechtenstein","LIE",38254,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,8342,577,6.92,1508.339,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Lithuania","LTU",2689862,"January 26, 2022",TRUE,22,441125,5408213,0.0815657593367717,5.74234879147855,650456,29436,4.53,1094.331,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Luxembourg","LUX",634814,"February 14, 2022",TRUE,3,122021,2038191,0.0598673038984079,8.92026346886078,123407,20682,16.76,3257.962,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Macao SAR, China","MAC",658391,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,31,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Madagascar","MDG",28427333,"February 12, 2022",TRUE,5,42751,270808,0.157864612566837,0.0269411559065894,43246,318,0.74,1.119,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Test"
"Malawi","MWI",19647681,"February 17, 2022",TRUE,0,56050,370815,0.15115354017502,0.0531067175561587,55500,597,1.08,3.039,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Test"
"Malaysia","MYS",32776195,"June 16, 2021",FALSE,246,409823,7596097,0.053951786029062,1.92371903120356,2866052,8198,0.29,25.012,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Maldives","MDV",543620,"November 09, 2021",TRUE,100,71285,1207982,0.059011640901934,8.33159985653985,144750,1128,0.78,207.498,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Mali","MLI",20855724,"February 17, 2022",TRUE,0,22040,432675,0.0509389264459467,0.0585359221225673,22065,39,0.18,0.187,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Leverage"
"Malta","MLT",516100,"September 06, 2021",TRUE,164,16727,557743,0.0299905153448811,6.18559799485405,50191,878,1.75,170.122,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Marshall Islands","MHL",59618,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,3,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Mauritania","MRT",4775110,"February 17, 2022",TRUE,0,41578,660590,0.0629407045217154,0.389211960524378,41552,0,0,0,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Connect"
"Mauritius","MUS",1273428,"September 01, 2021",TRUE,169,10279,23502,0.437367032592971,0.0928463070067318,70259,799,1.14,62.744,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Test"
"Mexico","MEX",130262220,"February 17, 2022",TRUE,0,3307912,9591247,0.344888626056654,0.20380654325189,3352842,46094,1.37,35.386,"Has not demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Test"
"Micronesia","FSM",116255,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,"Insufficient data",0,"0 NGS facilities or equivalent",NaN,"Lower middle income","Insufficient Data"
"Moldova","MDA",4024025,"June 13, 2021",FALSE,249,85625,510440,0.16774743358671,1.06331476566829,317936,188,0.06,4.672,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Monaco","MCO",39520,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,7312,83,1.14,210.02,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Mongolia","MNG",3329282,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,891277,485,0.05,14.568,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Montenegro","MNE",628051,"June 21, 2021",FALSE,241,31214,148855,0.20969399751436,1.86637995887457,157685,511,0.32,81.363,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Morocco","MAR",37344787,"February 16, 2022",TRUE,1,677300,5802287,0.116729834287756,0.430675861188501,678058,337,0.05,0.902,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Mozambique","MOZ",32163045,"February 16, 2022",TRUE,1,174645,870607,0.200601419469405,0.0763149786445128,172186,678,0.39,2.108,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Test"
"Myanmar","MMR",54806014,"February 16, 2022",TRUE,1,407617,4244250,0.0960398185780762,0.213712225542746,414566,47,0.01,0.086,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Namibia","NAM",2587344,"February 16, 2022",TRUE,1,120835,657283,0.183840141917561,0.708687659372591,120473,300,0.25,11.595,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Test"
"Nauru","NRU",-Inf,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Nepal","NPL",29674920,"February 17, 2022",TRUE,0,700805,3228696,0.217055120705077,0.303591394644384,701787,1227,0.17,4.135,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Test"
"Netherlands","NLD",17173094,"January 25, 2022",TRUE,23,3053480,20351857,0.150034466142328,3.44271315174044,4932572,84690,1.72,493.155,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"New Caledonia","NCL",288217,"September 07, 2021",TRUE,163,0,20907,0,0.357843388960205,42796,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"New Zealand","NZL",5126300,"February 17, 2022",TRUE,0,20379,4729331,0.0043090661237287,2.68707408396448,24591,6048,24.59,117.98,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Nicaragua","NIC",6702379,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,11497,355,3.09,5.297,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Niger","NER",25130810,"February 17, 2022",TRUE,0,4019,145695,0.0275850235080133,0.0164896262883316,4013,69,1.72,0.275,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Nigeria","NGA",211400704,"February 17, 2022",TRUE,0,107684,2818657,0.0382040099238751,0.0374616665625569,104768,3596,3.43,1.701,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"North Korea","PRK",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Insufficient Data"
"North Macedonia","MKD",2082661,"January 10, 2022",TRUE,38,138068,1147159,0.120356463227852,1.66886192699923,193112,391,0.2,18.774,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Northern Mariana Islands","MNP",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Norway","NOR",5465629,"January 22, 2022",TRUE,26,542265,6225526,0.0871034833040614,3.3579214900684,1036458,40812,3.94,746.703,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Oman","OMN",5223376,"May 28, 2021",FALSE,265,76969,70143,NaN,0.133346387311533,233854,266,0.11,5.092,"Insufficient data",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Pakistan","PAK",225199929,"February 15, 2022",TRUE,2,925100,17418756,0.0531094183763754,0.216045031862096,929432,1532,0.16,0.68,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Palau","PLW",18174,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,3425,2,0.06,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Palestine","PSE",5222756,"February 03, 2022",TRUE,14,379666,1995205,0.190289218401117,1.10491517670735,454501,19,0,0.364,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Connect"
"Panama","PAN",4381583,"February 14, 2022",TRUE,3,411795,3625972,0.113568168755854,2.30224098795219,414161,381,0.09,8.695,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Leverage"
"Papua New Guinea","PNG",9119005,"November 28, 2021",TRUE,81,34105,204948,0.16640806448465,0.0798149692206019,38625,3136,8.12,34.39,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Test"
"Paraguay","PRY",7219641,"February 16, 2022",TRUE,1,481933,1805373,0.266943728525906,0.693428767315334,485191,981,0.2,13.588,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Test"
"Peru","PER",33359415,"February 05, 2022",TRUE,12,2113347,19067454,0.110835300822019,1.62441659726264,2230236,13732,0.62,41.164,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Philippines","PHL",111046910,"February 16, 2022",TRUE,1,3090738,19541498,0.158162797959501,0.488573299065819,3093369,11217,0.36,10.101,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Test"
"Poland","POL",37797000,"February 14, 2022",TRUE,3,3805807,23281195,0.163471290885197,1.6853144473911,3855180,62554,1.62,165.5,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Portugal","PRT",10167923,"February 17, 2022",TRUE,0,2313436,29312481,0.0789232409225272,7.87566609034889,2357502,23118,0.98,227.362,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Puerto Rico","PRI",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Qatar","QAT",2930524,"February 17, 2022",TRUE,0,194010,1876869,0.103368961818859,1.78483403308402,194303,2839,1.46,96.877,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Republic of the Congo","COG",5657017,"January 19, 2022",TRUE,29,14852,241184,0.0615795409314051,0.128933894008453,15455,374,2.42,6.611,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Romania","ROU",19127772,"February 17, 2022",TRUE,0,1817830,14574108,0.124730103550763,2.07553087710254,1860305,8749,0.47,45.74,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Russia","RUS",145912022,"February 14, 2022",TRUE,3,10062688,162905340,0.0617701543730856,3.05834144202174,10558259,9481,0.09,6.498,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Rwanda","RWA",13276517,"February 17, 2022",TRUE,0,111934,3710190,0.0301693444271048,0.784813473563082,111629,387,0.35,2.915,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Connect"
"Saint Kitts and Nevis","KNA",53546,"September 20, 2021",TRUE,150,1629,27313,0.0596419287518764,2.36394322312619,5470,71,1.3,132.596,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Saint Lucia","LCA",184401,"February 17, 2022",TRUE,0,19614,103143,0.190163171519153,1.53578022632519,19850,125,0.63,67.787,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Saint Vincent and the Grenadines","VCT",111269,"July 06, 2021",FALSE,226,817,24394,0.0334918422562925,1.54764623778708,7006,209,2.98,187.833,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Samoa","WSM",200144,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,30,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"San Marino","SMR",34010,"January 17, 2022",TRUE,31,7405,78371,0.0944864809687257,6.83984988654215,10734,0,0,0,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Connect"
"São Tomé and Príncipe","STP",223364,"February 08, 2022",TRUE,9,4424,23672,0.186887461980399,0.301090039556861,4387,0,0,0,"Has not demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Test"
"Saudi Arabia","SAU",35340680,"February 17, 2022",TRUE,0,357673,26605371,0.0134436388802847,2.09373893827944,362256,117,0.03,0.331,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Leverage"
"Senegal","SEN",17196308,"February 17, 2022",TRUE,0,54501,631708,0.0862756210147727,0.103362807531956,53724,2265,4.22,13.171,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Strengthen"
"Serbia","SRB",6871547,"February 17, 2022",TRUE,0,1426903,5759152,0.247762691451797,1.80594009730308,1441349,288,0.02,4.191,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Leverage"
"Seychelles","SYC",98910,"December 21, 2020",FALSE,423,0,0,NaN,NaN,36929,732,1.98,740.067,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Sierra Leone","SLE",8141343,"February 17, 2022",TRUE,0,3831,249236,0.0153709736956138,0.0856008970997096,3836,20,0.52,0.246,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Singapore","SGP",5453600,"September 20, 2021",TRUE,150,19240,12167835,0.00158121802276247,9.54115502234768,473604,11287,2.38,206.964,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Sint Maarten (Dutch part)","SXM",43421,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,2092,Inf,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Slovakia","SVK",5449270,"September 20, 2021",TRUE,150,281637,39670308,0.0070994407202485,33.3285512652485,1417409,19946,1.41,366.031,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Slovenia","SVN",2078723,"February 16, 2022",TRUE,1,673324,16308204,0.0412874403582393,21.4911067623396,686536,44844,6.53,2157.286,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Solomon Islands","SLB",703995,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,5547,1,0.02,0.142,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Somalia","SOM",16359500,"January 10, 2022",TRUE,38,19045,316694,0.0601369144979065,0.0603837405070652,20760,11,0.05,0.067,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Connect"
"South Africa","ZAF",60041996,"February 17, 2022",TRUE,0,2152984,14014627,0.153624067197793,0.647393116662975,2136999,21636,1.01,36.035,"Has not demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Test"
"South Korea","KOR",51305184,"October 31, 2021",TRUE,109,282530,9658860,0.0292508639735952,0.727396589613524,1670239,22197,1.33,43.265,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"South Sudan","SSD",11381377,"February 14, 2022",TRUE,3,11466,234310,0.0489351713541889,0.0573472579488522,10981,67,0.61,0.589,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Spain","ESP",46745211,"November 15, 2021",TRUE,94,2066406,32095741,0.0643825609136116,2.50535217358384,7671435,82333,1.07,176.131,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Sri Lanka","LKA",21497306,"May 30, 2021",FALSE,263,107944,483820,0.223107767351494,0.215187480680406,555145,2687,0.48,12.499,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Saint Martin","MAF",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Sudan","SDN",44909351,"October 27, 2021",TRUE,113,10483,357934,0.0292875222806439,0.0320112829277302,29861,80,0.27,0.178,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Connect"
"Suriname","SUR",591798,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,68717,834,1.21,140.926,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Sweden","SWE",10160159,"May 10, 2021",FALSE,283,404351,3908366,0.103457813316358,4.55300291816895,1796458,127384,7.09,1253.76,"Insufficient data",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Switzerland","CHE",8715494,"February 17, 2022",TRUE,0,2038352,13784546,0.147872262169534,4.36347538440841,2082558,96802,4.65,1110.689,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Syria","SYR",18275704,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,38277,21,0.05,0.115,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Insufficient Data"
"Taiwan","TWN",23855008,"February 11, 2022",TRUE,6,18504,10585834,0.00174799642616727,1.22780515426443,18859,78,0.41,0.327,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Leverage"
"Tajikistan","TJK",9749625,"March 30, 2020",FALSE,689,0,0,NaN,NaN,4069,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Insufficient Data"
"Tanzania","TZA",61498438,"February 15, 2022",TRUE,2,32971,335928,0.0981490081207878,0.0154074845972395,33040,2,0.01,0.003,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Connect"
"Thailand","THA",69950844,"May 22, 2021",FALSE,271,101580,3545170,0.0286530688232158,0.523612382949812,2649516,12833,0.48,18.346,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"The Bahamas","BHS",396914,"February 15, 2022",TRUE,2,24697,155825,0.158491897962458,1.08630485551954,24622,105,0.43,26.454,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Connect"
"The Gambia","GMB",2486937,"February 17, 2022",TRUE,0,7526,102296,0.0735708141080785,0.115954908439648,7455,607,8.14,24.408,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Togo","TGO",8478242,"February 17, 2022",TRUE,0,30812,455670,0.0676191103210657,0.150792482051469,30703,220,0.72,2.595,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Low income","Strengthen"
"Tonga","TON",106759,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,210,0,0,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Trinidad and Tobago","TTO",1403374,"July 02, 2021",FALSE,230,25466,142480,0.178733857383492,0.738001263842703,114430,2245,1.96,159.972,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Tunisia","TUN",11935764,"February 17, 2022",TRUE,0,744904,3284810,0.226772324731111,0.761441699979253,749098,198,0.03,1.659,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Test"
"Turkey","TUR",85042736,"September 24, 2021",TRUE,146,4399448,52685322,0.0835042443130555,2.81389713264647,10656906,82820,0.78,97.386,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","Upper middle income","Strengthen"
"Turkmenistan","TKM",-Inf,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Turks and Caicos Islands","TCA",39226,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,3930,53,1.35,135.114,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Insufficient Data"
"Tuvalu","TUV",-Inf,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Uganda","UGA",47123533,"February 17, 2022",TRUE,0,122776,1557305,0.0788387631196201,0.0932771264532015,122830,579,0.47,1.229,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Leverage"
"Ukraine","UKR",43466822,"February 17, 2022",TRUE,0,3444885,12552741,0.274432890792537,0.786369214635677,3526448,501,0.01,1.153,"Has not demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Test"
"United Arab Emirates","ARE",9991083,"February 17, 2022",TRUE,0,520202,103734952,0.00501472252091079,28.7366378104353,513627,23,0,0.23,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Leverage"
"United Kingdom","GBR",68207114,"February 15, 2022",TRUE,2,14445689,384545199,0.0375656464768398,15.519377933756,13624121,1705992,12.52,2501.194,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"United States of America","USA",332915074,"February 17, 2022",TRUE,0,50137269,524096228,0.0956642431702447,4.33796695713431,50272290,2274606,4.52,683.239,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has demonstrated sequencing capacity","High income","Strengthen"
"Uruguay","URY",3485152,"February 16, 2022",TRUE,1,734551,4590579,0.160012712993285,3.62030189036364,750625,396,0.05,11.362,"Has demonstrated testing capacity",2,"4+ NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Leverage"
"Uzbekistan","UZB",33935765,"July 14, 2020",FALSE,583,0,0,NaN,NaN,155103,56,0.04,0.165,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Vanuatu","VUT",314464,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,6,1,16.67,0.318,"Insufficient data",0,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"Venezuela","VEN",28704947,"May 30, 2021",FALSE,263,99697,393740,0.253205160765988,0.131871738708143,374649,155,0.04,0.54,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Upper middle income","Insufficient Data"
"Vietnam","VNM",98168829,"May 08, 2021",FALSE,285,1052,554195,0.00189824881133897,0.0685958166076401,2640695,2328,0.09,2.371,"Insufficient data",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Insufficient Data"
"U.S. Virgin Islands","VIR",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","High income","Insufficient Data"
"Yemen","YEM",30490639,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,9567,0,0,0,"Insufficient data",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Low income","Insufficient Data"
"Zambia","ZMB",18920657,"February 16, 2022",TRUE,1,240426,2221965,0.108204224639002,0.3311344289853,238797,386,0.16,2.04,"Has demonstrated testing capacity",1,"1-3 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Leverage"
"Zimbabwe","ZWE",15092171,"February 17, 2022",TRUE,0,196537,1677323,0.117173019150158,0.309184248096081,197175,380,0.19,2.518,"Has demonstrated testing capacity",0,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity","Lower middle income","Connect"
"British Indian Ocean Territory","IOT",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Cook Islands","COK",17572,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,2,0,0,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Falkland Islands","FLK",3528,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,51,0,0,0,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"French Southern and Antarctic Lands","ATF",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
