,code,name,date_test_data_reported,dx_testing_capacity,facility_access,sequencing_facilities,sars_cov_2_sequencing,TPR_pct,daily_tests_per_1000,pct_seq,seq_per_100k,cases_per_100k,archetype,archetype_description
109,ZWE,Zimbabwe,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,12.4 %,0.3 per 1000 persons,0.17 %,2.2 per 100k persons,67.1 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
110,BGR,Bulgaria,"January 02, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Sufficient sequencing capacity,8.7 %,2.48 per 1000 persons,1.82 %,145.8 per 100k persons,296.9 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
111,THA,Thailand,"May 22, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,2.7 %,0.46 per 1000 persons,0.42 %,13.3 per 100k persons,29.8 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
112,SMR,San Marino,"December 16, 2021",Reliable testing capacity,High Income*,0 NGS facilities or equivalent,High Income*,7.8 %,6.02 per 1000 persons,0 %,0 per 100k persons,3013.8 per 100k persons,High Income*,High Income*
113,HTI,Haiti,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0.41 %,0.6 per 100k persons,2.1 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
114,DOM,Dominican Republic,"September 23, 2021",Unreliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,15.9 %,0.4 per 1000 persons,0.28 %,6.4 per 100k persons,120.1 per 100k persons,Test,Test - Increase diagnostic testing capacity
115,TCD,Chad,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,3.2 %,0.02 per 1000 persons,0 %,0 per 100k persons,2.8 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
116,KWT,Kuwait,"December 29, 2021",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,4.7 %,3.72 per 1000 persons,0.12 %,7.3 per 100k persons,118.2 per 100k persons,High Income*,High Income*
117,SLV,El Salvador,"December 27, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,7.5 %,0.42 per 1000 persons,0.4 %,4.6 per 100k persons,4.9 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
118,GTM,Guatemala,"January 04, 2022",Unreliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,18.4 %,0.41 per 1000 persons,0.25 %,6.8 per 100k persons,21.7 per 100k persons,Test,Test - Increase diagnostic testing capacity
119,TLS,East Timor,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,Insufficient Data,Insufficient Data,1.68 %,24.7 per 100k persons,0.7 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
120,BRN,Brunei,"December 14, 2021",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,2.6 %,3.87 per 1000 persons,2.47 %,85.8 per 100k persons,10.2 per 100k persons,High Income*,High Income*
121,MCO,Monaco,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,2.09 %,215.1 per 100k persons,242.9 per 100k persons,High Income*,High Income*
122,DZA,Algeria,"November 01, 2020",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0.05 %,0.1 per 100k persons,6 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
123,MOZ,Mozambique,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,20.8 %,0.07 per 1000 persons,0.44 %,2.4 per 100k persons,64.4 per 100k persons,Test,Test - Increase diagnostic testing capacity
124,SWZ,Eswatini,"January 03, 2022",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,16.1 %,0.83 per 1000 persons,0.19 %,9 per 100k persons,153.6 per 100k persons,Test,Test - Increase diagnostic testing capacity
125,BDI,Burundi,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,2.7 %,0.23 per 1000 persons,0.2 %,0.5 per 100k persons,41.4 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
126,RWA,Rwanda,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,3.2 %,0.69 per 1000 persons,0.44 %,3.5 per 100k persons,68.3 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
127,MMR,Myanmar,"December 21, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,9.6 %,0.21 per 1000 persons,0.01 %,0.1 per 100k persons,2.4 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
128,BGD,Bangladesh,"December 28, 2021",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,12.9 %,0.14 per 1000 persons,0.27 %,1.7 per 100k persons,2.3 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
129,AND,Andorra,"January 03, 2022",Reliable testing capacity,High Income*,0 NGS facilities or equivalent,High Income*,6.3 %,8.82 per 1000 persons,0.29 %,62.1 per 100k persons,2924.2 per 100k persons,High Income*,High Income*
130,AFG,Afghanistan,"December 30, 2021",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,17.1 %,0.04 per 1000 persons,0.08 %,0.2 per 100k persons,0.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
131,MNE,Montenegro,"June 21, 2021",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,25.4 %,1.89 per 1000 persons,0.37 %,74.8 per 100k persons,1971.3 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
132,BIH,Bosnia and Herzegovina,"January 04, 2022",Unreliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,25.4 %,0.59 per 1000 persons,0.6 %,33.1 per 100k persons,147.3 per 100k persons,Test,Test - Increase diagnostic testing capacity
133,UGA,Uganda,"January 03, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,7.7 %,0.08 per 1000 persons,0.55 %,1.3 per 100k persons,22.9 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
134,,,,,,,,,,,,,,
135,CUB,Cuba,"January 04, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,9.4 %,2.47 per 1000 persons,0 %,0 per 100k persons,28 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
136,HND,Honduras,"December 22, 2021",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,30.8 %,0.24 per 1000 persons,0.05 %,1.2 per 100k persons,0 per 100k persons,Test,Test - Increase diagnostic testing capacity
137,ECU,Ecuador,"January 04, 2022",Unreliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,24 %,0.22 per 1000 persons,1.01 %,19.1 per 100k persons,57.2 per 100k persons,Test,Test - Increase diagnostic testing capacity
138,COL,Colombia,"January 04, 2022",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,15 %,1.27 per 1000 persons,0.3 %,20.7 per 100k persons,138.7 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
139,PRY,Paraguay,"December 20, 2021",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,23.2 %,0.59 per 1000 persons,0.22 %,11 per 100k persons,67.8 per 100k persons,Test,Test - Increase diagnostic testing capacity
140,PRT,Portugal,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,4.7 %,5.66 per 1000 persons,2.15 %,217.1 per 100k persons,1545.2 per 100k persons,High Income*,High Income*
141,MDA,Moldova,"June 13, 2021",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,17.8 %,0.94 per 1000 persons,0.06 %,3.6 per 100k persons,60.4 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
142,TKM,Turkmenistan,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NaN %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
143,JOR,Jordan,"December 27, 2021",Reliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Insufficient sequencing capacity,7.5 %,2.78 per 1000 persons,0.09 %,6.3 per 100k persons,0 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
144,NPL,Nepal,"January 04, 2022",Unreliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,19.4 %,0.28 per 1000 persons,0.15 %,2.9 per 100k persons,6.3 per 100k persons,Test,Test - Increase diagnostic testing capacity
145,LSO,Lesotho,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,8.8 %,0.38 per 1000 persons,0.06 %,0.7 per 100k persons,86.8 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
146,CMR,Cameroon,"December 29, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,5.4 %,0.16 per 1000 persons,0.58 %,1.8 per 100k persons,0 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
147,GAB,Gabon,"January 03, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,2.9 %,1.37 per 1000 persons,0.5 %,7.2 per 100k persons,119.8 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
148,NER,Niger,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,2.9 %,0.02 per 1000 persons,1.94 %,0.3 per 100k persons,1.1 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
149,BFA,Burkina Faso,"December 29, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,5.4 %,0.03 per 1000 persons,2.1 %,1.1 per 100k persons,4.7 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
150,TGO,Togo,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,6.1 %,0.14 per 1000 persons,1.1 %,3.6 per 100k persons,32.6 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
151,GHA,Ghana,"January 03, 2022",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,6.1 %,0.13 per 1000 persons,2.24 %,6.5 per 100k persons,22 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
152,GNB,Guinea-Bissau,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,5.4 %,0.1 per 1000 persons,0.96 %,1.9 per 100k persons,2 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
153,GIB,Gibraltar,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,36.14 %,7022.6 per 100k persons,2261.7 per 100k persons,High Income*,High Income*
154,USA,United States of America,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,6.9 %,4.17 per 1000 persons,5.53 %,599 per 100k persons,1170 per 100k persons,High Income*,High Income*
155,USA,United States of America,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,6.9 %,4.17 per 1000 persons,5.53 %,599 per 100k persons,1170 per 100k persons,High Income*,High Income*
156,CAN,Canada,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,4.2 %,2.81 per 1000 persons,9.78 %,446.1 per 100k persons,835.1 per 100k persons,High Income*,High Income*
157,MEX,Mexico,"January 04, 2022",Unreliable testing capacity,1 or more NGS facilities,4+ NGS facilities or equivalent,Sufficient sequencing capacity,29.1 %,0.19 per 1000 persons,1.58 %,30.9 per 100k persons,43.5 per 100k persons,Test,Test - Increase diagnostic testing capacity
158,BLZ,Belize,"December 14, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,6.8 %,2.23 per 1000 persons,1.19 %,68.2 per 100k persons,581.1 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
159,PAN,Panama,"December 20, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,7.7 %,2.01 per 1000 persons,0.23 %,12.6 per 100k persons,238.6 per 100k persons,High Income*,High Income*
160,VEN,Venezuela,"May 30, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,15.6 %,0.18 per 1000 persons,0.03 %,0.3 per 100k persons,4.8 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
161,PNG,Papua New Guinea,"November 28, 2021",Unreliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,16.3 %,0.07 per 1000 persons,9.01 %,35 per 100k persons,0.7 per 100k persons,Test,Test - Increase diagnostic testing capacity
162,EGY,Egypt,"December 29, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,5.8 %,0.11 per 1000 persons,0.23 %,0.5 per 100k persons,5.4 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
163,YEM,Yemen,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,0.1 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
164,MRT,Mauritania,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,4.9 %,0.33 per 1000 persons,0 %,0 per 100k persons,57.8 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
165,GNQ,Equatorial Guinea,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,4.4 %,0.37 per 1000 persons,0.77 %,4.5 per 100k persons,5 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
166,GMB,The Gambia,"December 29, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,6.3 %,0.12 per 1000 persons,9.23 %,24.4 per 100k persons,9.7 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
167,HKG,"Hong Kong SAR, China","December 14, 2021",Insufficient data,High Income*,4+ NGS facilities or equivalent,High Income*,0 %,9.41 per 1000 persons,27.04 %,13.1 per 100k persons,1.1 per 100k persons,High Income*,High Income*
168,VAT,Vatican City,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,,Insufficient Data,Insufficient Data,NaN %,0 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
169,AUS,Australia,"January 04, 2022",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,1 %,4.7 per 1000 persons,5.86 %,131.9 per 100k persons,1042.5 per 100k persons,High Income*,High Income*
170,GRL,Greenland,"August 25, 2021",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,0 %,3.03 per 1000 persons,0 %,0 per 100k persons,1225.6 per 100k persons,High Income*,High Income*
171,FJI,Fiji,"December 29, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,11.8 %,1.39 per 1000 persons,0.94 %,57.4 per 100k persons,220 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
172,NCL,New Caledonia,"September 07, 2021",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,0 %,0.33 per 1000 persons,0 %,0 per 100k persons,94.7 per 100k persons,High Income*,High Income*
173,MDG,Madagascar,"December 29, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Sufficient sequencing capacity,14.5 %,0.02 per 1000 persons,1.21 %,1.5 per 100k persons,10 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
174,PHL,Philippines,"December 21, 2021",Reliable testing capacity,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,12.6 %,0.47 per 1000 persons,0.49 %,10.5 per 100k persons,19.8 per 100k persons,Leverage,Leverage - Leverage existing NGS capacity
175,LKA,Sri Lanka,"May 30, 2021",Insufficient data,1 or more NGS facilities,1-3 NGS facilities or equivalent,Insufficient sequencing capacity,12.4 %,0.35 per 1000 persons,0.41 %,10.5 per 100k persons,20.2 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
176,CUW,Curaçao,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,5.05 %,593.5 per 100k persons,2455.8 per 100k persons,High Income*,High Income*
177,ABW,Aruba,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,17.17 %,2794 per 100k persons,4382.7 per 100k persons,High Income*,High Income*
178,BHS,The Bahamas,"December 18, 2021",Reliable testing capacity,High Income*,0 NGS facilities or equivalent,High Income*,12.1 %,0.91 per 1000 persons,0.6 %,27.2 per 100k persons,622.8 per 100k persons,High Income*,High Income*
179,TCA,Turks and Caicos Islands,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,0.6 %,40.8 per 100k persons,711.3 per 100k persons,High Income*,High Income*
180,JPN,Japan,"December 21, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,6.5 %,0.51 per 1000 persons,10.66 %,125.7 per 100k persons,3.2 per 100k persons,High Income*,High Income*
181,SPM,Saint Pierre and Miquelon,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,34.7 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
182,ISL,Iceland,"January 04, 2022",Reliable testing capacity,High Income*,1-3 NGS facilities or equivalent,High Income*,2.4 %,7.52 per 1000 persons,17.18 %,1246.2 per 100k persons,1959.4 per 100k persons,High Income*,High Income*
183,PCN,Pitcairn Islands,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NaN %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
184,PYF,French Polynesia,"September 07, 2020",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,0.12 %,12.7 per 100k persons,32.6 per 100k persons,High Income*,High Income*
185,ATF,French Southern and Antarctic Lands,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
186,SYC,Seychelles,"December 21, 2020",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,2.93 %,749.2 per 100k persons,1171.8 per 100k persons,High Income*,High Income*
187,KIR,Kiribati,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0 %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
188,MHL,Marshall Islands,No tests reported,Insufficient data,No NGS facilities,0 NGS facilities or equivalent,,Insufficient Data,Insufficient Data,NaN %,0 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
189,TTO,Trinidad and Tobago,"July 02, 2021",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,16.2 %,0.63 per 1000 persons,1.62 %,99.8 per 100k persons,233 per 100k persons,High Income*,High Income*
190,GRD,Grenada,"January 04, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,8 %,1.87 per 1000 persons,0.65 %,38 per 100k persons,724.7 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
191,VCT,Saint Vincent and the Grenadines,"July 06, 2021",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,6.1 %,1.68 per 1000 persons,1.24 %,65.6 per 100k persons,133 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
192,BRB,Barbados,"January 04, 2022",Reliable testing capacity,High Income*,0 NGS facilities or equivalent,High Income*,7.1 %,3.83 per 1000 persons,0.33 %,33 per 100k persons,647.2 per 100k persons,High Income*,High Income*
193,LCA,Saint Lucia,"January 04, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,15 %,1.32 per 1000 persons,0.64 %,46.6 per 100k persons,284.2 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
194,DMA,Dominica,"December 28, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,5.6 %,4.49 per 1000 persons,0.36 %,34.6 per 100k persons,712.2 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
195,MSR,Montserrat,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Sufficient sequencing capacity,Insufficient Data,Insufficient Data,22.64 %,240.9 per 100k persons,421.6 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
196,ATG,Antigua and Barbuda,"June 07, 2021",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,10.6 %,0.68 per 1000 persons,2.29 %,100.3 per 100k persons,229.9 per 100k persons,High Income*,High Income*
197,KNA,Saint Kitts and Nevis,"September 20, 2021",Reliable testing capacity,High Income*,0 NGS facilities or equivalent,High Income*,5.7 %,2.07 per 1000 persons,0.85 %,52.3 per 100k persons,851.6 per 100k persons,High Income*,High Income*
198,VIR,U.S. Virgin Islands,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,High Income*,High Income*
199,BLM,Saint-Barthélemy,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
200,PRI,Puerto Rico,No tests reported,Insufficient data,High Income*,1-3 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,High Income*,High Income*
201,AIA,Anguilla,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Sufficient sequencing capacity,Insufficient Data,Insufficient Data,1.7 %,198.3 per 100k persons,681 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
202,VGB,British Virgin Islands,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,2.18 %,263 per 100k persons,2264.7 per 100k persons,High Income*,High Income*
203,JAM,Jamaica,"December 26, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,14.2 %,0.53 per 1000 persons,0.52 %,14.4 per 100k persons,113.7 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
204,CYM,Cayman Islands,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,0.91 %,124.8 per 100k persons,1688.8 per 100k persons,High Income*,High Income*
205,BMU,Bermuda,"December 31, 2021",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,0 %,24.67 per 1000 persons,0.74 %,75.7 per 100k persons,1404.4 per 100k persons,High Income*,High Income*
206,HMD,Heard Island and McDonald Islands,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
207,SHN,Saint Helena,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,,Insufficient Data,Insufficient Data,NaN %,0 per 100k persons,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
208,MUS,Mauritius,"September 01, 2021",Unreliable testing capacity,High Income*,0 NGS facilities or equivalent,High Income*,24.3 %,0.14 per 1000 persons,2.21 %,40.1 per 100k persons,30.9 per 100k persons,High Income*,High Income*
209,COM,Comoros,"November 27, 2020",Insufficient data,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,0.27 %,1.9 per 100k persons,135.2 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
210,STP,São Tomé and Príncipe,"December 29, 2021",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Insufficient sequencing capacity,14.5 %,0.25 per 1000 persons,0 %,0 per 100k persons,98.5 per 100k persons,Connect,Connect - Connect to countries with NGS capacity or build NGS capacity from scratch
211,CPV,Cape Verde,"January 03, 2022",Reliable testing capacity,No NGS facilities,0 NGS facilities or equivalent,Sufficient sequencing capacity,10.6 %,1.41 per 1000 persons,0.7 %,40.4 per 100k persons,933.8 per 100k persons,Strengthen,Strengthen - Build additional NGS capacity for scale-up
212,MLT,Malta,"September 06, 2021",Reliable testing capacity,High Income*,0 NGS facilities or equivalent,High Income*,3.4 %,6.34 per 1000 persons,1.44 %,119.9 per 100k persons,1517 per 100k persons,High Income*,High Income*
213,JEY,Jersey,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NaN %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
214,GGY,Guernsey,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NaN %,Insufficient Data,0 per 100k persons,Insufficient Data,Missing key diagnostic or case metrics
215,IMN,Isle of Man,No tests reported,Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,Insufficient Data,Insufficient Data,0 %,0 per 100k persons,4083.8 per 100k persons,High Income*,High Income*
216,FRO,Faroe Islands,"January 04, 2022",Insufficient data,High Income*,0 NGS facilities or equivalent,High Income*,0 %,25.01 per 1000 persons,0.08 %,10.2 per 100k persons,2823.5 per 100k persons,High Income*,High Income*
217,IOT,British Indian Ocean Territory,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
218,SGP,Singapore,"September 20, 2021",Reliable testing capacity,High Income*,4+ NGS facilities or equivalent,High Income*,0.1 %,8.94 per 1000 persons,4.48 %,182.9 per 100k persons,58.4 per 100k persons,High Income*,High Income*
219,NFK,Norfolk Island,No tests reported,Insufficient data,No facility data available,0 NGS facilities or equivalent,Insufficient sequencing capacity,Insufficient Data,Insufficient Data,NA %,Insufficient Data,Insufficient Data,Insufficient Data,Missing key diagnostic or case metrics
