"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"New Zealand","High income","May 01, 2022","18.4 %","2.85 per 1,000 persons","0.93 %","169.2 per 100k persons",9752,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Nicaragua","Lower middle income","No tests reported","Insufficient data","Insufficient data","2.73 %","4.7 per 100k persons",564,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Niger","Low income","May 01, 2022","2.4 %","0.02 per 1,000 persons","2.16 %","0.3 per 100k persons",259,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nigeria","Lower middle income","April 29, 2022","2.9 %","0.04 per 1,000 persons","4.99 %","2.1 per 100k persons",5804,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"North Korea","Low income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"North Macedonia","Upper middle income","February 24, 2022","12.7 %","1.81 per 1,000 persons","0.15 %","11.5 per 100k persons",833,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Northern Mariana Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",1636,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norway","High income","January 22, 2022","10.6 %","3.21 per 1,000 persons","3.38 %","812.7 per 100k persons",59304,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Oman","High income","May 28, 2021","Insufficient data","0.13 per 1,000 persons","0.24 %","8.9 per 100k persons",901,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Pakistan","Lower middle income","April 24, 2022","4.3 %","0.21 per 1,000 persons","0.32 %","1 per 100k persons",2710,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Palau","High income","No tests reported","Insufficient data","Insufficient data","0.43 %","Insufficient data",20,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Palestine","Lower middle income","February 03, 2022","18.8 %","0.94 per 1,000 persons","0 %","0 per 100k persons",128,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Panama","High income","April 28, 2022","11.8 %","2.21 per 1,000 persons","0.66 %","62.3 per 100k persons",4050,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Papua New Guinea","Lower middle income","November 28, 2021","15.1 %","0.08 per 1,000 persons","8.44 %","30.3 per 100k persons",4382,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Paraguay","Upper middle income","March 27, 2022","24.4 %","0.64 per 1,000 persons","0.23 %","11.9 per 100k persons",1272,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Peru","Upper middle income","April 27, 2022","9.5 %","1.55 per 1,000 persons","0.93 %","49 per 100k persons",19772,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Philippines","Lower middle income","May 01, 2022","14.9 %","0.45 per 1,000 persons","0.33 %","7.8 per 100k persons",14876,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Poland","High income","April 27, 2022","14.7 %","1.59 per 1,000 persons","2.13 %","180.3 per 100k persons",81138,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Portugal","High income","May 01, 2022","9.7 %","8.27 per 1,000 persons","0.84 %","250.5 per 100k persons",33073,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Puerto Rico","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",9131,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Qatar","High income","May 01, 2022","10.4 %","1.47 per 1,000 persons","1.45 %","78.6 per 100k persons",4860,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Republic of the Congo","Lower middle income","May 01, 2022","5.1 %","0.13 per 1,000 persons","3.07 %","7.3 per 100k persons",594,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Romania","High income","March 10, 2022","13.1 %","2.18 per 1,000 persons","0.59 %","56.3 per 100k persons",13651,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Russia","Upper middle income","April 28, 2022","8.2 %","3.03 per 1,000 persons","0.08 %","7.1 per 100k persons",16781,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Rwanda","Low income","May 01, 2022","2.7 %","0.84 per 1,000 persons","0.41 %","3.3 per 100k persons",786,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint Kitts and Nevis","High income","April 29, 2022","9.6 %","2.98 per 1,000 persons","1.29 %","132.6 per 100k persons",74,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Lucia","Upper middle income","April 28, 2022","18.2 %","1.54 per 1,000 persons","0.5 %","51.5 per 100k persons",145,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Vincent and the Grenadines","Upper middle income","July 06, 2021","3.5 %","1.46 per 1,000 persons","2.58 %","187.8 per 100k persons",217,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"San Marino","High income","April 11, 2022","12.4 %","7.32 per 1,000 persons","0 %","0 per 100k persons",0,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"São Tomé and Príncipe","Lower middle income","April 27, 2022","13.6 %","0.34 per 1,000 persons","0.16 %","2.7 per 100k persons",10,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saudi Arabia","High income","May 01, 2022","1.4 %","1.97 per 1,000 persons","0.02 %","0.2 per 100k persons",1192,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Senegal","Lower middle income","May 01, 2022","7 %","0.11 per 1,000 persons","4.46 %","11.8 per 100k persons",3785,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Serbia","Upper middle income","May 01, 2022","23.3 %","1.77 per 1,000 persons","0.02 %","4.5 per 100k persons",762,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Seychelles","High income","December 21, 2020","Insufficient data","Insufficient data","3.1 %","1146.5 per 100k persons",1150,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sierra Leone","Low income","April 27, 2022","1.4 %","0.09 per 1,000 persons","0.66 %","0.3 per 100k persons",61,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Singapore","High income","September 20, 2021","0.2 %","11.21 per 1,000 persons","1.18 %","245.4 per 100k persons",15832,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sint Maarten (Dutch part)","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",2326,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Slovakia","High income","April 28, 2022","10.3 %","8.64 per 1,000 persons","1.73 %","564.7 per 100k persons",33963,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Slovenia","High income","May 01, 2022","5.1 %","19.79 per 1,000 persons","6.32 %","2337.9 per 100k persons",66184,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Solomon Islands","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.66 %","13.9 per 100k persons",108,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Somalia","Low income","January 10, 2022","3.6 %","0.07 per 1,000 persons","0 %","0 per 100k persons",35,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"South Africa","Upper middle income","May 01, 2022","15.9 %","0.64 per 1,000 persons","1.28 %","46.6 per 100k persons",38491,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"South Korea","High income","October 31, 2021","3.5 %","0.74 per 1,000 persons","0.21 %","70.6 per 100k persons",43372,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"South Sudan","Low income","April 30, 2022","3 %","0.06 per 1,000 persons","1.64 %","1 per 100k persons",170,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Spain","High income","November 15, 2021","6.7 %","2.47 per 1,000 persons","1.07 %","192.2 per 100k persons",123761,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Sri Lanka","Lower middle income","May 01, 2022","11.3 %","0.63 per 1,000 persons","0.54 %","13.8 per 100k persons",3376,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Martin","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Sudan","Low income","October 27, 2021","2.1 %","0.04 per 1,000 persons","0.05 %","0 per 100k persons",112,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Suriname","Upper middle income","No tests reported","Insufficient data","Insufficient data","1.09 %","126.4 per 100k persons",1058,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sweden","High income","May 10, 2021","10 %","4.77 per 1,000 persons","7.69 %","1156.3 per 100k persons",186776,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Switzerland","High income","April 26, 2022","20.5 %","4.57 per 1,000 persons","3.35 %","1137.3 per 100k persons",138349,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Syria","Low income","No tests reported","Insufficient data","Insufficient data","0.27 %","0.5 per 100k persons",89,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Taiwan","High income","May 01, 2022","0.6 %","1.63 per 1,000 persons","0.1 %","0.5 per 100k persons",319,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Tajikistan","Low income","March 30, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tanzania","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.01 %","0 per 100k persons",2,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Thailand","Upper middle income","April 25, 2022","21.4 %","0.76 per 1,000 persons","0.43 %","25.9 per 100k persons",19362,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"The Bahamas","High income","May 01, 2022","15.9 %","1.02 per 1,000 persons","0.87 %","50.6 per 100k persons",263,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"The Gambia","Low income","March 24, 2022","6.6 %","0.12 per 1,000 persons","11.02 %","27 per 100k persons",1240,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Togo","Low income","May 01, 2022","5.7 %","0.14 per 1,000 persons","0.6 %","1.7 per 100k persons",358,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tonga","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Trinidad and Tobago","High income","April 25, 2022","23.7 %","1.12 per 1,000 persons","1.73 %","169.1 per 100k persons",2748,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Tunisia","Lower middle income","April 27, 2022","22.4 %","0.76 per 1,000 persons","0.1 %","6.4 per 100k persons",1247,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Turkey","Upper middle income","May 01, 2022","10.2 %","3.27 per 1,000 persons","0.83 %","99.5 per 100k persons",90566,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Turkmenistan","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Turks and Caicos Islands","High income","No tests reported","Insufficient data","Insufficient data","1.12 %","102 per 100k persons",55,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Tuvalu","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Uganda","Low income","April 24, 2022","7.6 %","0.1 per 1,000 persons","0.44 %","1.1 per 100k persons",975,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ukraine","Lower middle income","February 18, 2022","27.9 %","0.77 per 1,000 persons","0.02 %","1.2 per 100k persons",742,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Arab Emirates","High income","May 01, 2022","0.3 %","30.94 per 1,000 persons","0.01 %","0.2 per 100k persons",2614,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Kingdom","High income","April 29, 2022","5 %","14.42 per 1,000 persons","13.14 %","3244.4 per 100k persons",2630361,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"United States of America","High income","May 01, 2022","10.1 %","4.01 per 1,000 persons","5.12 %","751.8 per 100k persons",3157733,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Uruguay","High income","April 18, 2022","16.3 %","3.5 per 1,000 persons","0.01 %","1.2 per 100k persons",873,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Uzbekistan","Lower middle income","July 14, 2020","Insufficient data","Insufficient data","0.04 %","0.2 per 100k persons",90,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Vanuatu","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",2,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Venezuela","Upper middle income","May 30, 2021","Insufficient data","0.01 per 1,000 persons","0.09 %","1.1 per 100k persons",463,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Vietnam","Lower middle income","May 08, 2021","1.8 %","0.02 per 1,000 persons","0.04 %","4.1 per 100k persons",4142,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"U.S. Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",1748,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Yemen","Low income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Zambia","Lower middle income","May 01, 2022","11.2 %","0.3 per 1,000 persons","0.29 %","3.5 per 100k persons",1393,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Zimbabwe","Lower middle income","April 30, 2022","11.9 %","0.32 per 1,000 persons","0.18 %","2.5 per 100k persons",930,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"British Indian Ocean Territory","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Cook Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Falkland Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"French Southern and Antarctic Lands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guernsey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Heard Island and McDonald Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Jersey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Montserrat","No income data","No tests reported","Insufficient data","Insufficient data","6.79 %","301.1 per 100k persons",19,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Niue","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norfolk Island","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Pitcairn Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Saint Helena","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Saint Pierre and Miquelon","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint-Barthélemy","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"South Georgia and the South Sandwich Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Wallis and Futuna","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",10,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Anguilla","No income data","No tests reported","Insufficient data","Insufficient data","2.67 %","476 per 100k persons",77,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Vatican City","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Western Sahara","No income data","October 13, 2021","No cases reported","0.03 per 1,000 persons","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
