"Country","Socioeconomic status","Date tests last reported","Test positivity rate (%)","Average daily tests","% of cases sequenced","Number of sequences","Cumulative number of sequences entire pandemic","Test Archetype","Sequencing Archetype"
"Nicaragua","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.05 %","0 per 100k persons",567,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Niger","Low income","August 25, 2022","2.5 %","0.02 per 1,000 persons","3.29 %","0.5 per 100k persons",343,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Nigeria","Lower middle income","August 03, 2022","2.6 %","0.04 per 1,000 persons","5.56 %","1.8 per 100k persons",6988,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"North Korea","Low income","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"North Macedonia","Upper middle income","February 24, 2022","16.9 %","1.91 per 1,000 persons","0.14 %","10.7 per 100k persons",924,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Northern Mariana Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",3141,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norway","High income","August 22, 2022","31.7 %","2.12 per 1,000 persons","3.39 %","814.2 per 100k persons",70532,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Oman","High income","May 28, 2021","Insufficient data","Insufficient data","0.17 %","3.5 per 100k persons",917,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Pakistan","Lower middle income","August 30, 2022","3.3 %","0.15 per 1,000 persons","0.57 %","1 per 100k persons",3969,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Palau","High income","No tests reported","Insufficient data","Insufficient data","0.84 %","249.7 per 100k persons",47,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Palestine","Lower middle income","February 03, 2022","22.8 %","1.14 per 1,000 persons","0 %","0 per 100k persons",129,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Panama","High income","August 27, 2022","15.7 %","2.1 per 1,000 persons","0.58 %","69.9 per 100k persons",5699,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Papua New Guinea","Lower middle income","November 28, 2021","20.6 %","0.1 per 1,000 persons","7.51 %","20.4 per 100k persons",4382,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Paraguay","Upper middle income","March 27, 2022","22.7 %","0.56 per 1,000 persons","0.47 %","18 per 100k persons",2104,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Peru","Upper middle income","August 18, 2022","11.5 %","1.42 per 1,000 persons","1.08 %","62.4 per 100k persons",29432,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Philippines","Lower middle income","August 30, 2022","14.2 %","0.34 per 1,000 persons","0.46 %","7.6 per 100k persons",21827,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Poland","High income","August 24, 2022","19 %","1.26 per 1,000 persons","1.98 %","170.1 per 100k persons",85456,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Portugal","High income","June 02, 2022","14.2 %","9.18 per 1,000 persons","0.56 %","236.6 per 100k persons",40869,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Puerto Rico","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",12656,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Qatar","High income","August 30, 2022","14.3 %","1.3 per 1,000 persons","0.63 %","45.8 per 100k persons",5014,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Republic of the Congo","Lower middle income","July 04, 2022","4.9 %","0.13 per 1,000 persons","2.27 %","4.4 per 100k persons",610,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Romania","High income","June 27, 2022","15.2 %","2.06 per 1,000 persons","0.55 %","59.9 per 100k persons",16147,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Russia","Upper middle income","August 30, 2022","9.7 %","2.4 per 1,000 persons","0.1 %","8.5 per 100k persons",22777,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Rwanda","Low income","August 29, 2022","1.4 %","0.71 per 1,000 persons","0.24 %","0.8 per 100k persons",786,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint Kitts and Nevis","High income","August 31, 2022","5.8 %","4.93 per 1,000 persons","0.8 %","90.3 per 100k persons",74,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Lucia","Upper middle income","August 23, 2022","14.7 %","2.12 per 1,000 persons","0.58 %","65.7 per 100k persons",200,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Vincent and the Grenadines","Upper middle income","August 28, 2022","23.1 %","0.94 per 1,000 persons","2.19 %","181.2 per 100k persons",222,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Samoa","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"San Marino","High income","August 16, 2022","16.6 %","7.48 per 1,000 persons","0 %","0 per 100k persons",0,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"São Tomé and Príncipe","Lower middle income","August 24, 2022","11.6 %","0.39 per 1,000 persons","0.03 %","0.4 per 100k persons",11,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saudi Arabia","High income","August 31, 2022","1.6 %","1.32 per 1,000 persons","0.02 %","0.1 per 100k persons",1245,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Senegal","Lower middle income","August 29, 2022","3.1 %","0.08 per 1,000 persons","11.81 %","10.6 per 100k persons",5660,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Serbia","Upper middle income","August 31, 2022","26.9 %","1.77 per 1,000 persons","0.07 %","15.7 per 100k persons",1646,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Seychelles","High income","December 21, 2020","Insufficient data","Insufficient data","4.23 %","1031.3 per 100k persons",1413,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sierra Leone","Low income","August 23, 2022","0.6 %","0.08 per 1,000 persons","0.22 %","0 per 100k persons",61,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Singapore","High income","August 29, 2022","3.7 %","22.38 per 1,000 persons","0.88 %","286 per 100k persons",22168,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Sint Maarten (Dutch part)","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",2623,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Slovakia","High income","August 18, 2022","17.4 %","5.6 per 1,000 persons","1.89 %","624.9 per 100k persons",41248,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Slovenia","High income","August 31, 2022","7 %","16.15 per 1,000 persons","5.2 %","2105.3 per 100k persons",72204,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Solomon Islands","Lower middle income","No tests reported","Insufficient data","Insufficient data","1.1 %","33.3 per 100k persons",246,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Somalia","Low income","July 05, 2022","3 %","0.06 per 1,000 persons","0.09 %","0.1 per 100k persons",45,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"South Africa","Upper middle income","August 29, 2022","12.7 %","0.45 per 1,000 persons","1.81 %","36.8 per 100k persons",45358,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"South Korea","High income","October 31, 2021","4.2 %","0.86 per 1,000 persons","0.25 %","109.8 per 100k persons",75639,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"South Sudan","Low income","July 17, 2022","3 %","0.06 per 1,000 persons","1.11 %","0.7 per 100k persons",170,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Spain","High income","August 31, 2022","21.4 %","2.33 per 1,000 persons","0.98 %","175.3 per 100k persons",152943,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Sri Lanka","Lower middle income","June 16, 2022","9.8 %","0.38 per 1,000 persons","1.02 %","10.6 per 100k persons",3519,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Saint Martin","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Sudan","Low income","October 27, 2021","1.9 %","0.06 per 1,000 persons","0.52 %","0.3 per 100k persons",347,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Suriname","Upper middle income","No tests reported","Insufficient data","Insufficient data","0.79 %","66.6 per 100k persons",1116,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Sweden","High income","May 10, 2021","Insufficient data","Insufficient data","6.79 %","931.2 per 100k persons",206894,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Switzerland","High income","August 30, 2022","25.4 %","4.07 per 1,000 persons","2.54 %","951.9 per 100k persons",147432,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Syria","Low income","No tests reported","Insufficient data","Insufficient data","0.31 %","0.4 per 100k persons",89,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Taiwan","High income","August 31, 2022","27.1 %","2.22 per 1,000 persons","0.04 %","8.8 per 100k persons",2494,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Tajikistan","Low income","March 30, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tanzania","Lower middle income","No tests reported","Insufficient data","Insufficient data","0.01 %","0 per 100k persons",2,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Thailand","Upper middle income","August 29, 2022","26.5 %","0.52 per 1,000 persons","0.59 %","28.2 per 100k persons",25202,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"The Bahamas","High income","August 27, 2022","16.4 %","0.82 per 1,000 persons","0.31 %","14.2 per 100k persons",263,"Sustain - Sustain diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"The Gambia","Low income","August 09, 2022","3.8 %","0.08 per 1,000 persons","12.94 %","12.7 per 100k persons",1363,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Togo","Low income","August 29, 2022","5.4 %","0.11 per 1,000 persons","1.78 %","3.5 per 100k persons",811,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Tonga","Upper middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Trinidad and Tobago","High income","August 30, 2022","27.2 %","0.97 per 1,000 persons","1.85 %","163 per 100k persons",3699,"Test - Increase diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Tunisia","Lower middle income","August 29, 2022","20.7 %","0.54 per 1,000 persons","0.1 %","3.9 per 100k persons",1247,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Turkey","Upper middle income","August 31, 2022","13.6 %","2.47 per 1,000 persons","0.35 %","41.8 per 100k persons",96032,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Turkmenistan","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Turks and Caicos Islands","High income","No tests reported","Insufficient data","Insufficient data","1.1 %","90.9 per 100k persons",72,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Tuvalu","Upper middle income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Uganda","Low income","August 23, 2022","3.8 %","0.08 per 1,000 persons","0.71 %","0.8 per 100k persons",1265,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Ukraine","Lower middle income","June 15, 2022","38.2 %","0.6 per 1,000 persons","0.02 %","1.5 per 100k persons",1031,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Arab Emirates","High income","June 30, 2022","0.2 %","31.86 per 1,000 persons","0 %","0 per 100k persons",2615,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"United Kingdom","High income","May 23, 2022","6.3 %","13.8 per 1,000 persons","12.3 %","2897.4 per 100k persons",2802383,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"United States of America","High income","August 31, 2022","12 %","3.8 per 1,000 persons","4.65 %","757.8 per 100k persons",3905894,"Sustain - Sustain diagnostic testing capacity","Sustain - Sustain current sequencing levels"
"Uruguay","High income","April 18, 2022","18.4 %","3.44 per 1,000 persons","0.02 %","2.8 per 100k persons",942,"Sustain - Sustain diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Uzbekistan","Lower middle income","July 14, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons",90,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Vanuatu","Lower middle income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",1,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Venezuela","Upper middle income","May 30, 2021","Insufficient data","Insufficient data","0.14 %","1 per 100k persons",590,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Vietnam","Lower middle income","May 08, 2021","Insufficient data","Insufficient data","0.04 %","4.6 per 100k persons",5549,"Insufficient testing data","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"U.S. Virgin Islands","High income","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",2228,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Yemen","Low income","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Zambia","Lower middle income","August 29, 2022","8.8 %","0.21 per 1,000 persons","0.34 %","2.2 per 100k persons",1543,"Test - Increase diagnostic testing capacity","Strengthen / Leverage - Strengthen sequencing levels by leveraging existing NGS capacity"
"Zimbabwe","Lower middle income","August 29, 2022","11 %","0.22 per 1,000 persons","0.19 %","1.6 per 100k persons",930,"Test - Increase diagnostic testing capacity","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"British Indian Ocean Territory","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Cook Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Falkland Islands","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"French Southern and Antarctic Lands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Guernsey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Heard Island and McDonald Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Jersey","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Montserrat","No income data","No tests reported","Insufficient data","Insufficient data","1.7 %","430.2 per 100k persons",28,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Niue","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Norfolk Island","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Pitcairn Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Saint Helena","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint Pierre and Miquelon","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Saint-Barthélemy","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"South Georgia and the South Sandwich Islands","No income data","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
"Wallis and Futuna","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",10,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Anguilla","No income data","No tests reported","Insufficient data","Insufficient data","2.04 %","469.8 per 100k persons",101,"Insufficient testing data","Sustain - Sustain current sequencing levels"
"Vatican City","No income data","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",0,"Insufficient testing data","Connect / Build - Connect to countries with NGS capacity or build NGS capacity from scratch"
"Western Sahara","No income data","October 13, 2021","No cases reported","0.01 per 1,000 persons","Insufficient data","Insufficient data",0,"Insufficient testing data","Insufficient data - Missing key diagnostic or case metrics"
