"name","Date tests last reported","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","World Bank Economic Status","COVID-19 Diagnostic Testing Capacity","SARS-CoV-2 Sequencing Capacity","NGS Facility Access","Archetype"
"Niger","February 24, 2022","2.7 %","0.02 per 1000 persons","1.78 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Nigeria","February 24, 2022","3.6 %","0.04 per 1000 persons","2.79 %","1.2 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"North Korea","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","Low income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"North Macedonia","February 24, 2022","14.6 %","1.76 per 1000 persons","0.26 %","16.6 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Northern Mariana Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Norway","January 22, 2022","8.8 %","3.36 per 1000 persons","8.6 %","589.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Oman","May 28, 2021","Insufficient data","0.13 per 1000 persons","0.16 %","5 per 100k persons","High income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Pakistan","February 24, 2022","5.3 %","0.22 per 1000 persons","0.2 %","0.6 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Palau","No tests reported","Insufficient data","Insufficient data","25 %","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Palestine","February 03, 2022","19.1 %","1.11 per 1000 persons","0.01 %","0.4 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Panama","February 14, 2022","11.4 %","2.3 per 1000 persons","0.2 %","8.4 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Papua New Guinea","November 28, 2021","16.7 %","0.08 per 1000 persons","8.81 %","34 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Paraguay","February 24, 2022","26.7 %","0.7 per 1000 persons","0.19 %","8.2 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Peru","February 20, 2022","11.2 %","1.65 per 1000 persons","1.02 %","32.7 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Philippines","February 24, 2022","15.9 %","0.49 per 1000 persons","0.4 %","8.7 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Poland","February 14, 2022","16.5 %","1.7 per 1000 persons","1.51 %","102 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Portugal","February 24, 2022","8.1 %","7.99 per 1000 persons","2.86 %","196.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Puerto Rico","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Qatar","February 23, 2022","10.4 %","1.77 per 1000 persons","2.3 %","85.4 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Republic of the Congo","January 19, 2022","6.2 %","0.13 per 1000 persons","2.6 %","6.2 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Romania","February 24, 2022","12.8 %","2.11 per 1000 persons","0.68 %","37.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Russia","February 14, 2022","6.2 %","3.07 per 1000 persons","0.13 %","5.8 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Rwanda","February 24, 2022","3 %","0.79 per 1000 persons","0.35 %","2.7 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Saint Kitts and Nevis","September 20, 2021","6 %","2.42 per 1000 persons","0.68 %","52.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Saint Lucia","February 23, 2022","18.9 %","1.55 per 1000 persons","0.67 %","42.3 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Saint Vincent and the Grenadines","July 06, 2021","3.3 %","1.51 per 1000 persons","1.4 %","59.3 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Samoa","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons","Upper middle income","Insufficient data",NaN,"Does not have access to sequencing facilities","Insufficient data"
"San Marino","January 17, 2022","9.5 %","6.79 per 1000 persons","0 %","0 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"São Tomé and Príncipe","February 24, 2022","18.1 %","0.3 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Test"
"Saudi Arabia","February 24, 2022","1.4 %","2.12 per 1000 persons","0.03 %","0.2 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Senegal","February 24, 2022","8.4 %","0.1 per 1000 persons","4.67 %","12.5 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Serbia","February 24, 2022","25 %","1.82 per 1000 persons","0.02 %","2.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Seychelles","December 21, 2020","Insufficient data","Insufficient data","3 %","742.1 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Sierra Leone","February 18, 2022","1.9 %","0.07 per 1000 persons","0.56 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Singapore","September 20, 2021","0.2 %","9.65 per 1000 persons","4.32 %","179 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Sint Maarten (Dutch part)","No tests reported","Insufficient data","Insufficient data","Inf %","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Slovakia","September 20, 2021","0.6 %","34.37 per 1000 persons","2.08 %","316.6 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Slovenia","February 24, 2022","4.2 %","22.05 per 1000 persons","11.84 %","1730.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Solomon Islands","No tests reported","Insufficient data","Insufficient data","10 %","0.1 per 100k persons","Lower middle income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Somalia","January 10, 2022","5.8 %","0.06 per 1000 persons","0.06 %","0.1 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"South Africa","February 24, 2022","15.4 %","0.65 per 1000 persons","0.9 %","29.8 per 100k persons","Upper middle income","Has not demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"South Korea","October 31, 2021","3 %","0.73 per 1000 persons","3.26 %","36.7 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"South Sudan","February 14, 2022","4.5 %","0.06 per 1000 persons","0.75 %","0.6 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Spain","November 15, 2021","6.4 %","2.48 per 1000 persons","1.56 %","133.3 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Sri Lanka","May 30, 2021","26.5 %","0.19 per 1000 persons","0.4 %","9.6 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Saint Martin","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Sudan","October 27, 2021","2.9 %","0.03 per 1000 persons","0.46 %","0.2 per 100k persons","Low income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Suriname","No tests reported","Insufficient data","Insufficient data","1.59 %","131 per 100k persons","Upper middle income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Sweden","May 10, 2021","10.6 %","4.56 per 1000 persons","15.05 %","1139.5 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Switzerland","February 24, 2022","15.4 %","4.42 per 1000 persons","8.5 %","907.1 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Syria","No tests reported","Insufficient data","Insufficient data","0.06 %","0.1 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Taiwan","February 23, 2022","0.2 %","1.26 per 1000 persons","0.44 %","0.3 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Tajikistan","March 30, 2020","Insufficient data","Insufficient data","0 %","0 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Tanzania","February 15, 2022","9.9 %","0.02 per 1000 persons","0 %","0 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"Thailand","May 22, 2021","2.9 %","0.55 per 1000 persons","0.41 %","13 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"The Bahamas","February 23, 2022","15.7 %","1.1 per 1000 persons","0.52 %","26.5 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"The Gambia","February 18, 2022","7.5 %","0.11 per 1000 persons","9.31 %","23 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Togo","February 24, 2022","6.7 %","0.15 per 1000 persons","0.8 %","2.6 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Strengthen"
"Tonga","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Trinidad and Tobago","July 02, 2021","18.2 %","0.76 per 1000 persons","1.56 %","99.5 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Tunisia","February 24, 2022","22.8 %","0.77 per 1000 persons","0.04 %","1.6 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"Turkey","September 24, 2021","8.4 %","2.86 per 1000 persons","1.06 %","91.4 per 100k persons","Upper middle income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Turkmenistan","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Turks and Caicos Islands","No tests reported","Insufficient data","Insufficient data","0.82 %","40.8 per 100k persons","High income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Tuvalu","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Uganda","February 24, 2022","7.8 %","0.09 per 1000 persons","0.5 %","1.2 per 100k persons","Low income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Ukraine","February 18, 2022","28.1 %","0.8 per 1000 persons","0.01 %","0.8 per 100k persons","Lower middle income","Has not demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Test"
"United Arab Emirates","February 24, 2022","0.5 %","29.17 per 1000 persons","0.01 %","0.2 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"United Kingdom","February 15, 2022","3.8 %","15.64 per 1000 persons","12.91 %","1960.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"United States of America","February 24, 2022","9.7 %","4.3 per 1000 persons","5.88 %","558.8 per 100k persons","High income","Has demonstrated testing capacity","Has demonstrated sequencing capacity","Has access to sequencing facilities","Strengthen"
"Uruguay","February 24, 2022","16.5 %","3.68 per 1000 persons","0.09 %","10.6 per 100k persons","High income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Uzbekistan","July 14, 2020","Insufficient data","Insufficient data","0.05 %","0.2 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Vanuatu","No tests reported","Insufficient data","Insufficient data","16.67 %","0.3 per 100k persons","Lower middle income","Insufficient data","Has demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Venezuela","May 30, 2021","28.7 %","0.12 per 1000 persons","0.03 %","0.3 per 100k persons","Upper middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"Vietnam","May 08, 2021","0.2 %","0.06 per 1000 persons","0.1 %","1.9 per 100k persons","Lower middle income","Insufficient data","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Insufficient data"
"U.S. Virgin Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data","High income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Yemen","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons","Low income","Insufficient data","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Insufficient data"
"Zambia","February 24, 2022","10.8 %","0.33 per 1000 persons","0.18 %","1.9 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Has access to sequencing facilities","Leverage"
"Zimbabwe","February 24, 2022","11.8 %","0.31 per 1000 persons","0.08 %","1 per 100k persons","Lower middle income","Has demonstrated testing capacity","Has not demonstrated sequencing capacity","Does not have access to sequencing facilities","Connect"
"British Indian Ocean Territory","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Cook Islands","No tests reported","Insufficient data","Insufficient data","0 %","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Falkland Islands","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"French Southern and Antarctic Lands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Guernsey","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Heard Island and McDonald Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Jersey","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Montserrat","No tests reported","Insufficient data","Insufficient data","10.64 %","200.8 per 100k persons",NaN,"Insufficient data","Has demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Niue","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Norfolk Island","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Pitcairn Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Saint Helena","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",NaN,"Insufficient data",NaN,"No data on sequencing facilities","Insufficient data"
"Saint Pierre and Miquelon","No tests reported","Insufficient data","Insufficient data","0 %","0 per 100k persons",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Saint-Barthélemy","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"South Georgia and the South Sandwich Islands","No tests reported","Insufficient data","Insufficient data","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Wallis and Futuna","No tests reported","Insufficient data","Insufficient data","2.25 %","90.1 per 100k persons",NaN,"Insufficient data","Has demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Anguilla","No tests reported","Insufficient data","Insufficient data","1.71 %","198.3 per 100k persons",NaN,"Insufficient data","Has demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
"Vatican City","No tests reported","Insufficient data","Insufficient data","Insufficient data","0 per 100k persons",NaN,"Insufficient data",NaN,"No data on sequencing facilities","Insufficient data"
"Western Sahara","October 13, 2021","No cases reported","0.03 per 1000 persons","Insufficient data","Insufficient data",NaN,"Insufficient data","Has not demonstrated sequencing capacity","No data on sequencing facilities","Insufficient data"
